Id,Context,file_path
1705971360189366000," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189367000," The Toronto Metropolitan University offers a Bachelor of Science in Nursing program that lasts for four years. Students are taught by faculty from both program streams. The program aims to prepare nursing leaders who are competent, knowledgeable, and committed to shaping the future of healthcare. It educates nurses to work with diverse populations and in various contexts.

The curriculum is based on phenomenology and critical social theory and consists of five themes: primary health care/health promotion, reflective practice/critical thinking, meaningful relationships/caring/communication, political/social justice, and personal/professional development. The program also covers several important concepts, including safety, scholarship, relational practice, determinants of health, diversity, professional nursing practice, leadership, health systems, teaching/learning.

The curriculum includes required professionally related courses in anatomy and physiology, microbiology, psychology, as well as elective courses from other disciplines. The first two years of the program are completed at George Brown's Waterfront Campus. In Year I, students focus on knowledge of self in the context of health and develop effective communication abilities and foundational nursing practice skills. In Year II, students shift their focus to knowledge of others in the context of illness.

Students are recognized as adult learners responsible for their learning, and learning is characterized as an interactive, lifelong process. The student-educator relationship is based on mutual trust and respect.

No specific factual information such as emails or names were mentioned in the text.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189367000," The George Brown College, Toronto Metropolitan University, and Centennial College offer a collaborative nursing degree program. Students progress through the program in three years (Year I, II, III, and IV). In Year I and II, students develop knowledge related to health and illness, including chronic and acute illness and end-of-life care. They also learn building therapeutic relationships with families and acquire research skills.

Year III focuses on community health within the context of primary healthcare and includes areas of maternal/child health, pediatrics, mental health, leadership, advocacy, and social activism. In Year IV, students prepare for transitioning to a new graduate nurse role by exploring professional practice issues and demonstrating leadership skills.

Nursing practice experiences begin in the first year and expose students to a broad range of clinical practice settings and nursing roles, primarily within community settings and hospitals in the Greater Toronto Area (GTA). Travel throughout the GTA is expected for clinical placements. Graduates are eligible to write the National Council Licensure Examination (NCLEX) and apply for registration with the College of Nurses of Ontario to become a Registered Nurse, opening up career opportunities in various healthcare settings like acute, chronic, or long-term care hospitals, institutions, clinics, community health organizations, public and occupational health settings, education, research, nursing administration, management, and leadership roles.

Students are exposed to a wide range of clinical practice environments and nursing roles as they participate in diverse clinical placement experiences, primarily within the Greater Toronto Area (GTA), including long-term care, acute care hospitals, and community settings. Students must be fully vaccinated against COVID-19 for clinical placements as per public health recommendations and agency requirements.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189367000," The text provides information about the role and responsibilities of Registered Nurses in various healthcare settings, primarily in long-term care, acute care hospitals, and community settings. It also mentions travel to various agencies throughout the GTA as an expectation. Additionally, it discusses career opportunities and postgraduate study possibilities for Registered Nurses, including a B.Sc.N. degree graduates applying for master's level studies in nursing research, education, leadership, or nurse practitioner programs. George Brown College offers specialized training courses for Registered Nurses in areas such as Perinatal Intensive Care, Operating Room Perioperative Nursing, Critical Care, and Interprofessional Complex and Long-Term Care.

Required courses for the first year of study include Professional Practice in Nursing 1: Introduction to the Nursing Profession (PPN 101), Foundations for Nursing Practice (NSE 111), Communication for the Nursing Professional (NSE 101), Anatomy and Physiology I (BLG 101), Introduction to Psychology I (PSY102), and a Liberal Studies Elective. The second year of study includes courses such as Professional Practice in Nursing II: Health, Wellness and the Role of the Nurse (PPN 102), Clinical Practice I (NSE 121), Introduction to Health Assessment (NSE 103), Anatomy and Physiology II (BLG 111), and a Liberal Studies Elective. No specific program name or other factual information about the college was mentioned in the text.

EXTRACTED INFORMATION:
- Role and responsibilities of Registered Nurses in various healthcare settings
- Travel expectation throughout the GTA
- Career opportunities and postgraduate study possibilities for Registered Nurses
- George Brown College offers specialized training courses for Registered Nurses
- Required courses for first and second year of nursing study: PPN 101, NSE 111, NSE 101, BLG 101, PSY102, Liberal Studies Elective, PPN 102, NSE 121, NSE 103, BLG 111, Liberal Studies Elective.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189367000," Extracted Information:

Year 3:
- Semester 4:
  - Code: PPN 201, NSE 212, NSE 203, NSE 211, Courses not identified, Courses not identified, Courses not identified, Courses not identified
  - Course Names: Professional Practice in Nursing III: Living with Chronic Illness, Pathotherapeutics I, Nursing Research: Quantitative Methods, Advanced Health Assessment, Clinical Practice II

Year 3 (cont.):
- Semester 5:
  - Code: PPN 202, NSE 222, PAT 202, BLG 131, NSE 221, Courses not identified, Courses not identified, Courses not identified
  - Course Names: Professional Practice in Nursing IV: Experiencing Acute and Life-Threatening Illness, Nursing Research: Qualitative Methods, Pathotherapeutics II, Microbiology for Nursing, Clinical Practice III

Year 3 (cont.):
- Semester 6:
  - Code: PPN 301, NSE 311, Courses not identified, Courses not identified, Courses not identified, Courses not identified, Courses not identified, Courses not identified
  - Course Names: Professional Practice in Nursing V: Promoting Maternal and Child Health, Clinical Practice IV, Courses not identified, Liberal Studies, Upper Level Liberal (ULL) studies, Open Elective, Open Elective, Open Elective

Year 4:
- Semester 7:
  - Code: PPN 302, NSE 321, Clinical Practice V, PPN 303, Courses not identified, Courses not identified, Courses not identified, Courses not identified
  - Course Names: Professional Practice in Nursing VI: Promoting Community Health, Clinical Practice V, Professional Practice in Nursing VII: Promoting Mental Health, Courses not identified, Liberal Studies, Upper Level Liberal (ULL) studies, Open Elective, Open Elective

Year 4 (cont.):
- Semester 8:
  - Code: PPN 401, NSE 411, Clinical Practice VI, PAT 401, Liberal Studies, Upper Level Liberal (ULL) studies, Codes not identified, Codes not identified
  - Course Names: Professional Practice in Nursing VIII: Transition to the Profession, Leadership and Change, Clinical Practice VI, Advanced Pathotherapeutics, Liberal Studies, Upper Level Liberal (ULL) studies, Courses not identified, Courses not identified

Program Learning Outcomes:
- Communication
  - 1a. Applies clear and accurate verbal communication.
  - 1b. Applies clear and accurate written communication.
  - 1c. Applies principles and processes of relational practice and effective communication with individuals.
  - 1d. Applies principles and processes of relational practice and effective communication with families.
  - 1e. Applies principles and processes of relational practice and effective communication with groups.
  - 1f. Applies principles and processes of relational practice and effective communication with communities.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189367000," The text provides information on various aspects of nursing practice and education at the college. Here is the extracted information:

1. The college's graduates apply principles and processes of relational practice and effective communication with communities.
2. They apply evidence-informed knowledge and care, including a broad knowledge base in nursing and other disciplines and critical reasoning in decision-making and delivery of care.
3. Collaboration is emphasized, including working with clients, inter-professional members, unregulated healthcare providers, and other staff as part of a healthcare team.
4. Culturally safe and competent care is implemented to address the health needs of diverse individuals, families, and communities.
5. Ethical practice, professional responsibility, and accountability are demonstrated in all domains of nursing practice.
6. Effective interventions are planned to manage care within health systems.
7. Information and communication technologies and digital tools are incorporated to support the delivery of client care that meets evidence-informed, organizational, ethical, regulatory, and legislative requirements.
8. Effective leadership and advocacy are demonstrated in practice and facilitates change and innovation across practice situations and settings.
9. A culture of safety is contributed to in the provision of quality healthcare.
10. Domestic tuition for the first two semesters of programs starting in Fall 2023 is $7,307. Additional costs are estimated but not specified in the text.

No specific year or program name was mentioned in the text.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189368000," The text mentions that the tuition fees for programs starting in Fall 2024 at George Brown College are estimated and subject to board approval. The fees cover tuition, materials, student service, and ancillary fees for the first two semesters. Financial assistance is available through OSAP for eligible applicants, with different institutions mentioned for each year of the program: George Brown College during years one and two, and Toronto Metropolitan University during years three and four. The text also includes admission requirements, such as the need for an Ontario Secondary School Diploma or equivalent with specific grade 12 courses, a minimum combined grade point average (CGPA) of 2.33 (C+), and being considered ""In Good Standing"" with no failures in core prerequisite subjects. The text also states that the actual minimum grades and averages required for admission may fluctuate from year to year based on competition.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189368000," * This is a highly competitive program with a deadline for equal consideration on February 1.
* Mature students must be 21 years old by December 31 of the year they will commence studies, have been away from formal education for at least two years, and be Canadian citizens, permanent residents, or sponsored by a Canadian governmental agency.
* Applicants do not need an Ontario Secondary School Diploma or equivalent with six grade 12 (M or U) credits but must meet other admission requirements.
* This program is open to domestic applicants only.
* ENG4U/EAE4U is the preferred English credit, and all applicants not currently enrolled in a full-time high school program may need to complete the Collaborative Nursing Supplementary Application Form.
* Applicants who have been absent from formal education for 10 years or longer must repeat prerequisite subjects.
* Only first-year applications to the Nursing program will be considered, and consideration is limited to applicants without prior post-secondary studies in Nursing.
* Prior application information, including transcripts, Supplementary Application Forms, and residency/language information must be submitted for each application cycle.
* International applicants must submit original official transcripts and certified/notarized literal English translations of their documents to Ontario Colleges.
* This is a collaborative program that follows Toronto Metropolitan University's admissions policy on document submission.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189368000," * University's admissions policy requires applicants to submit secondary and all post-secondary academic transcripts, regardless of completion date and country of origin.
* Transcripts must show individual marks or grades achieved in each course or subject taken, as well as the diploma/degree awarded (if applicable).
* Applicants for Nursing Program may need to complete Practice Requirements Record with attached supporting documents from their healthcare provider.
* Applicants whose first language is not English may need to provide proof of English Language proficiency.
* New or returning students must meet all mandatory requirements listed on the practice requirement record form, which may take up to four months to complete.
* Students will be notified by mail after paying their deposit fee to submit medical records, police vulnerable sector check, CPR level HCP certificate renewed every year, annual flu shot, and mask fit test renewed every two years to ParaMed by given deadline.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
1705971360189368000," * The health requirements and non-academic requirements for the clinical practicum must be submitted every two years by the given deadline to ParaMed.
* Students are responsible for all costs, service fees, and fines associated with the overall health requirements.
* Exclusion from the clinical practicum for non-compliance with health policy and non-academic requirements may jeopardize academic standing and successful completion of the program.
* A Police Vulnerable Sector Check is required every year before entering into field or clinical placement.
* The check takes two to three months, but can take up to eight months under some circumstances.
* Students are responsible for ensuring that the Police Vulnerable Sector Check covers appropriateness for individuals working with vulnerable persons.
* Students residing in certain regions (Durham, Halton, Hamilton, Peel and York or others) are strongly advised to apply for their police check after October 1 due to processing times.",scraped_pages/programpages2024/Bachelor of Science in Nursing Program (B.Sc.N.) S118 | George Brown College2024.txt
