Id,Context,file_path
1705985854839379000," Program Name: Honours Bachelor of Behaviour Analysis
Code: S302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) + 14-week Field Experience Term (unpaid)
Starting Months: September
Domestic Tuition: $7,278.00 *
International Tuition: $20,925.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Experiential Learning: Seven (7) week unpaid block placement begins in semester 4 and semester 6, and fourteen (14) week unpaid block placement begins in the fall term of student's final year.
Additional Information:
- Program is eligible for a $1000 entrance scholarship.
- Leadership claim: George Brown College was the first college in Toronto to offer the Behavioural Science Technology Advanced Diploma and spearheaded the development of the provincial Autism and Behavioural Science programs.
- The Honours Bachelor of Behaviour Analysis program combines philosophy, methodology and theory with a strong applied learning component to create a comprehensive understanding of behavioural psychology and applied behaviour analysis (ABA).",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839381000," The text is about Applied Behavior Analysis (ABA), a scientific approach to understanding and treating human behavior, provided by the college in Toronto for over 15 years. ABA can be applied to various populations including those with autism spectrum disorder (ASD), brain injury, dementia, developmental disabilities, addiction, and mental health disorders.

The degree program consists of three main components:
1. Conducting a complete behavioral assessment using interview and observational techniques.
2. Developing an effective plan based on the results of the assessment to reduce problem behaviors and develop skills.
3. Ongoing evaluation of components one and two.

The degree program also includes a research component where students prepare for their capstone project from years 1-3, and conduct the actual research during their fourth year. The courses offered in the program have been verified by the Association for Behavior Analysis International (ABAI) towards the coursework requirements for the Board Certified Assistant Behavior Analyst® examination. However, students must meet additional eligibility requirements to take the exam.",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839382000," The text provides information about a Behaviour Analysis degree program offered at George Brown College. Here are some key facts extracted from the text:

1. The program helps students become practicing behaviorists and prepares them to be leaders in the field of behavior analysis.
2. It is delivered on-site at the Daphne Cockwell Centre for Health Sciences at Waterfront Campus.
3. The core courses cover five areas of learning: behavioral science theories, principles, and methods; special populations; psychology; research methods/statistics; ethics, professionalism, and leadership.
4. Advanced-entry options are available for students with a 3.0 GPA or higher and who have completed certain prerequisites, such as an approved Ontario college behavioral science technician diploma program, two years of the Behavioural Science Technology advanced diploma program at George Brown, or graduates of George Brown’s Behaviour Science Technician diploma program.
5. External applicants from other institutions will be assessed for advanced standing on a case-by-case basis.
6. As of July 2024, the profession of applied behavior analysis in Ontario will come under the jurisdiction of the newly expanded College of Psychologists and Behaviour Analysts of Ontario.
7. The text mentions that the BACB has published Verified Course Sequence pass rate data for 2020, but no specific information is provided in the text regarding this.
8. Contact information for Program Co-ordinator Don Togade is given: Don.Togade@georgebrown.ca",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839383000," The Honours Bachelor of Behaviour Analysis program at the college includes field placements during semesters 4 and 6, a 14-week unpaid field experience term between years three and four for conducting a research thesis, and support from a field coordinator, agency on-site supervisor, and college faculty field liaison.

Graduates of this program have pursued master's degrees in related areas such as applied behaviour analysis, applied disability studies, counselling psychology at institutions like Brock University, The Chicago School of Professional Psychology, Missouri State University, Western University, University of British Columbia, and Yorkville University.

Additional educational pathways for graduates with an interest in working in long-term care facilities include applying to the Interprofessional Complex and Long-Term Care (S417) postgraduate certificate program, which is a two-semester online program where students learn to coordinate and manage a health-care team of interprofessionals.",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839384000," The text describes an online program offered by the college for learning to coordinate and manage a healthcare team of interprofessional complex and long-term care professionals. The program includes a clinical field placement component and is delivered on-demand to accommodate working professionals. The program consists of six semesters, each semester having specific required courses.

Semester 1:
- BEHA 1001: Behaviour Theory and Principles I
- BEHA 1002: Introduction to Psychology
- BEHA 1003: Communication and Critical Thinking
- COMM1190: Critical Thinking to Scholarly Writing
- Liberal Studies Elective
- Another Liberal Studies Elective

Semester 2:
- BEHA 1101: Behaviour Theory and Principles II
- BEHA 1102: Developmental Disabilities in Ontario: Policy and Process
- BEHA 1103: Developmental Psychology
- Liberal Studies Elective
- Another Liberal Studies Elective

Semester 3:
- BEHA 2003: Abnormal Psychology
- BEHA 2005: Professional Communications
- BEHA 2007: ABA Assessment: Processes and Procedures
- BEHA 2008: Introduction to Skill Development
- BEHA 2104: Research Methods

Semester 4:
- BEHA 2009: Skill Development Advanced Applications
- BEHA 2010: Behaviour Reduction
- BEHA 2105: Ethics: Moral Philosophy
- BEHA 2109: Supervision Seminar I
- BEHA 2110: Block Placement I

Semester 5:
- BEHA 3001: Group Behaviour Therapy
- BEHA 3002: Behavioural Approaches to Acquired Brain Injury and Gerontology
- BEHA 3004: Psychometrics
- BEHA 3005: Standards of Practice In ABA
- BEHA 2103: Behavioural Approaches to Autism, Developmental Disabilities and Other Behavioural Issues
- BEHA 2004: Statistics

Semester 6:
- BEHA 3101: Clinical Behaviour Analysis
- BEHA 3102: Mediator Training: Application to Parents and Staff
- BEHA 3109: Supervision Seminar II
- BEHA 3110: Block Placement II
- BEHA 4002: Behavioural Approaches to Health and Well-being
- Liberal Studies Elective

Semester 7:
- BEHA 3103: Behavioural Approaches to Education
- BEHA 4001: Organizational Behaviour Management
- BEHA 4003: Service Delivery Systems and Interprofessional Practice
- BEHA 4106: Applied The (Missing name of the course)

The courses are a mix of Liberal Studies Electives and BEHA related courses.",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839385000," Program Offered: Behaviour Analysis (BEHA)

Semesters: Semester 8, Fall

Courses:
- HA 4003: Service Delivery Systems and Interprofessional Practice
- BEHA 4101: Consolidation of Behavioural Principles and Practice
- BEHA 4102: Advanced Topics in Behavioural Science
- BEHA 4103: Leadership in Behaviour Analysis
- BEHA 4104: Professional Standards and Practices in Dissemination
- BEHA 4105: Thesis (42 hours)
- Liberal Studies Elective

Course Codes: HA 4003, BEHA 4101 to BEHA 4106

Program Learning Outcomes:
- Learn about psychological theory, research and practices.
- Design and conduct various assessments across a variety of settings and populations.
- Design and implement research-based programs in applied behaviour analysis and evaluate their effectiveness.
- Practise behavioural consulting skills with different populations.
- Demonstrate appropriate social, professional and clinical skills in the context of an interdisciplinary setting with a variety of clients, their support networks, professionals and the community.
- Maintain a high degree of professionalism and ethical standards.
- Communicate, orally and in written form, results of behavioural assessments and treatment programs.
- Understand, critically evaluate and synthesize issues in society.

Tuition & Fees:
- Domestic Tuition: $7,278.00 (for the first two semesters)
- International Tuition: $20,925.00 (for the first two semesters)
- Additional Costs: Amounts are estimated and subject to change for programs starting in Fall 2023 and Fall 2024. Does not include books, which are to be purchased by the student separately.

*Please note that tuition fees do NOT include the cost of the Field Experience or Work Term.",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839386000," The text mentions that international students should refer to the International Fees and Related Costs page for information regarding the cost of Field Experience or Work Term. However, no specific cost is mentioned in the text.

Regarding admission requirements, applicants need an Ontario Secondary School Diploma with a combined average of 65% or higher, including grade 12 English (U) with a minimum grade of 65%, grade 11 or 12 Math (M or U), and one of Biology, Chemistry, Physics, or Environmental Science (U or M). For mature students, they need to meet the same requirements as above. Additional information on upgrading can be found on the English, Math, and Science upgrading pages.

George Brown College is committed to ensuring applicants will succeed in their program of choice, but meeting minimum requirements does not guarantee admission.",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839390000," MINIMUM REQUIREMENTS FOR ADMISSION:
- Applicants may need grades higher than stated minimums for admission
- English language proficiency requirements:
  - George Brown College ESL Level 9
  - TOEFL: 84 overall, 21 in each skill band (online)
  - IELTS: 6.5 overall, 6.0 in each skill band
  - MELAB: 85
  - CAEL: overall 70, writing 60
- Some college and university credits may qualify for exemptions
- International students should check specific admission requirements on the International Admissions page

PROGRAM REQUIREMENTS:
- Clinical Pre-placement Health Form and program policy requirements must be met and completed by accepted students
- Submission of medical records (TDAP shot, MMR, Varicella, Hep B blood test reports/titres, Two-Step TB Skin Test) and proof of clear Vulnerable Sector Check
- COVID-19 vaccination recommended for students working with young children and vulnerable populations

TIME FRAME:
- George Brown College was granted consent to offer the applied degree for a seven-year term starting July 21, 2015
- Renewal of Ministerial Consent is required and the college is in its renewal phase

DEADLINES:
- Submission of pre-placement requirements by the program specific deadline on ParaMed Placement Pass website.

ADDITIONAL INFORMATION:
- Visit the Transfer Guide for information about course exemptions.
- Find out more about English proficiency on the college's website.",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839390000," * Students who do not submit all required documentation by established deadlines will be excluded from clinical practicum. Exclusion may jeopardize academic standing and completion of the program.
* Costs, service fees, and fines associated with health requirements are the responsibility of the student.
* Mandatory Pre-placement health form and details can be found on the Clinical Pre-placement website.
* Vulnerable Sector Check requirements:
  * Completion is required for students in the program.
  * Must be renewed every year before entering into field or clinical placement.
  * Typically takes 2-3 months, but can take 4-8 months.
  * Protects clientele of placement partner agencies (considered ""vulnerable persons"" under law).
  * Students responsible for ensuring the check covers appropriateness for working with vulnerable persons.
  * Keep original copy of Vulnerable Sector Check.
  * Failure to provide a clear check may prevent students from starting field or clinical placement and completing the program.
* Apply:
  * Domestic students apply through Ontario Colleges.
  * International students apply through George Brown College Online Application System.
* Contact Us:
  * Call School of Health and Wellness at 416-415-5000, ext. 2367 between 9 a.m. and 4 p.m. or email hwprograms@georgebrown.ca.
  * For more information about George Brown College, call Contact Centre at 416-415-2000 (TTY 1-877-515-5559).",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
1705985854839391000," Contact information:
- Phone number (Canada): 416-415-2000 (TTY 1-877-515-5559) or long distance 1-800-205-2002.
- International recruitment representatives: booking a virtual meeting or submitting an inquiry for contact through the International Contact Us page.
- Programs explorable on the website: Autism and Behavioural Science (C405), Practical Nursing (PN) (S121), Bachelor of Science in Nursing (B.Sc.N.) (S118).
- Campus visit options: booking a campus tour or info session.
- Email sign up for tailored resources and application help.

No explicit information about the college or specific programs offered was given, so no additional factual information to provide.",scraped_pages/programpages2024/Honours Bachelor of Behaviour Analysis Program S302 | George Brown College2024.txt
