Id,Context,file_path
1705971360514318000," Program Name: Honours Bachelor of Digital Experience Design
Code: G301
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) plus 1 Co-op Work Term
Starting Months: September
Domestic Tuition: $8,181.00 * †
International Tuition: $21,390.00 ** †
Location: Waterfront Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Design
Experiential Learning: Co-op (paid)
Eligible for entrance scholarship: $1000

* Domestic students tuition for the year 2023-2024.
** International students tuition for the year 2023-2024.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514318000," The Interactive Digital Media program at George Brown College focuses on digital experience design and is offered in the School of Design. The curriculum covers three areas: Think (design thinking, theory, culture, and research), Make (designing, building, and testing digital experiences), and Ship (entrepreneurship and commercialization of digital products).

The degree program prepares students for a career in the growing interactive digital media industry by providing hands-on experience and industry-relevant education. Graduates will be prepared to contribute to interdisciplinary teams and lead projects across various fields, such as security, transportation, education, and manufacturing. They may also pursue graduate studies in a wide range of academic disciplines.

The School of Design has an established reputation for design education and is located in a new 103,000-square-foot facility called Daniels Waterfront – City of the Arts. The building includes several labs, such as a virtual and augmented reality lab, usability and testing lab, Future Ways of Living lab, peer tutor lab, digital sandbox, incubators, prototyping and workshop spaces, and design and innovation showcase spaces.

The curriculum is designed in consultation with industry, faculty, alumni, and students to meet current and future job market demands. Students will learn specialized skills and gain hands-on experience using the latest hardware and software in state-of-the-art facilities. The program also includes opportunities for applied research through partnerships with organizations like the Innovation Exchange and Design Centre for the Smart Economy.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514318000," The future School of Design building will include the Innovation Exchange and Design Centre for the Smart Economy, a research hub where students and businesses collaborate to bring new ideas to market. Students in George Brown's Interaction Design advanced diploma program may be eligible for advanced entry into the Honours Bachelor of Digital Experience Design bridging program. Eligible students must complete the second year of Interaction Design and Development (G113) with a GPA of 3.2 (75 percent) or higher to enter the fall bridge program, which leads to semester 5 of the degree program. Students are required to complete a 420-hour paid co-op work term between their third and fourth year, which can be completed domestically and/or internationally. Notable training partners include agencies such as Publicis, K9 Strategy + Design, Trevor/Peter and Relish Interactive; larger brands like Nelvana (Corus Entertainment), Rogers Media, Mozilla, Crayola, and PUR Gum; and industry-relevant arts and design institutions such as the Toronto International Film Festival (TIFF), the Association of Registered Graphic Designers (RGD), and Applied Arts. Graduates of this program will have the skills needed for various interaction design careers.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514318000," The text provides information about graduate study opportunities and career options for a program related to Digital Experience Design and Interactive Digital Media (IDM). This program prepares graduates for roles in various digital design positions, such as digital experience designer, user experience designer, human interface designer, interaction designer, information architect, visual designer, mobile designer, web designer, user experience researcher, usability tester, entrepreneur, and more.

Digital Experience Design is a field that focuses on creating novel and interactive forms of digital technology to influence and respect the contextual and situational features of human-technology interaction. This field has gained currency in research and practice, with organizations like IDEO embracing ""Digital Experiences"" as a core area of expertise.

Interactive Digital Media (IDM) is an industry that creates digital content and environments for entertainment, information, or education, as well as services that enable the production of interactive content. The IDM sector in Canada has been growing rapidly, driven by shifts in consumer behavior and technology. It includes companies that produce interactive content and those that provide various types of products or services to support the creation of such content.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514319000," The Honours Bachelor of Digital Experience Design program is offered at George Brown College. Graduates of this program may qualify to pursue further graduate studies in areas related to design, interaction design, digital/interactive media, digital experience, human computer interaction, systems design, e-health, e-learning, game design, interactive arts and critical practice.

The Interaction Design and Development Advanced Diploma (G103) students who have completed the second or third year with a grade point average of 3.2 (75 per cent) or higher may be eligible to enter a degree completion pathway to the Honours Bachelor of Digital Experience Design program.

The following required courses are offered in the first semester: BDES 1000 - Design Tools 1: Digital Visualization in 2D Environments, BDES 1001 - Digital Systems and Software, BDES 1002 - Drawing 1: Introduction to Observational Drawing, BDES 1003 - Introduction to Digital Experience Design, and BDES 1004 - Communicating for Design.

The second semester offers the following required courses: BDES 1200 - Design Thinking, BDES 1201 - Design Culture and Theory, BDES 1202 - Drawing 2: Drawing Techniques in Digital Environments, and BDES 1203 - Introduction to Human Computer Interaction.

For more information about the program or the degree completion pathway, contact digitalexperience@georgebrown.ca or call 416-415-5000, ext. 3129.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514319000," The text provides information about various courses offered by the college under the Liberal Studies Elective program during different semesters. I have extracted the following factual information from the text:

1. There are courses offered in Semester 3, 4, 5, 6, and between semesters 6 and 7.
2. Each course has a unique code and name associated with it. For instance, BDES 2300 - Design Tools 2: Digital Visualization in 3D Environments.
3. Some courses have prerequisites that must be completed before enrolling. For example, BDES 2401 - Real World Project Lab requires completion of BDES 2301 as a prerequisite.
4. There are some Liberal Studies Elective courses that do not mention any prerequisites (NONE).
5. Courses offered in Semester 6 include Entrepreneurship for Digital Design, Digital Media Studies, Transmedia (Cross-Channel), and a Lower Liberal Studies Elective.
6. Between semesters 6 and 7, there is a Work-Integrated Learning Co-op (GCOP 1001).
7. In Semester 7, courses include Major Project 1: Research and Conceptualization, Trends in Digital Experience Design, Special Topic 2: MUSH sector, and another Lower Liberal Studies Elective.
8. In Semester 8, the course offered is Commercialization, which has BDE S3602 and BDES 4801 as prerequisites.
9. There are also some courses that do not mention any prerequisites or semester information, such as Advanced Human Computer Interaction Methods (BDES 3503) and Special Topic 1: Augmented Reality (BDES 3510).",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514319000," Program Learning Outcomes:
1. Integrate digital experience design theories and methodologies to solve real-life problems and address societal issues.
2. Explain the relationships between digital interactive experiences and products and other fields of practice and study.
3. Provide human-centered and research-based solutions and design opportunities across sectors.
4. Determine the usability of interactive systems to optimize the performance of a product or service.
5. Incorporate key theoretical concepts of design to inform the planning, production and critique of interactive digital experiences.
6. Develop applications based on trends in digital experience design.
7. Incorporate relevant technological systems in the process of developing digital experiences.
8. Use human-centered design principles to develop and test digital products, systems and services to enhance the aesthetic and functional experience.
9. Select the appropriate tools that allow for designing, building, visualizing and programming digital interactive experiences.
10. Create interactive products, systems and services using appropriate technologies, materials and manufacturing methods.
11. Collaborate with and lead interdisciplinary design teams and stakeholders in the process of designing a product or service.
12. Manage a design project by applying business, legal and ethical principles.
13. Conceive of economically viable projects with accompanying business models.

Tuition & Fees:
Domestic Tuition (Fall 2023): $8,181.00
International Tuition (Fall 2023): $21,390.00
Domestic Tuition (Fall 2024): Amounts listed are subject to board approval
International Tuition (Fall 2024): Amounts listed are subject to board approval
Additional Costs: Estimated total of tuition, materials, student service and ancillary fees for the first two semesters of programs starting in Fall 2023 or Fall 2024. Fees are subject to change for programs starting in later dates. This fee does not include books, which are to be purchased by the student separately.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514319000," This program offered at George Brown College has the following characteristics:

1. Fees do not include a $500 cost for the co-op work term.
2. International students should refer to the International Fees and Related Costs page for more information.
3. The program is approved for OSAP funding, but applicants must meet OSAP eligibility criteria.
4. Applicants require:
   * Ontario Secondary School Diploma or equivalent
   * Six (6) grade 12 university (U) or University/College (M) courses or equivalent with a combined average of 60 per cent or above, including English and math
   * English, grade 12 (U) with a grade of 65 per cent or higher
   * Mathematics, grade 11 (U) or (M) or Grade 12 (U) with a grade of 60 per cent or higher
   * Application questionnaire and portfolio
5. Mature students (aged 19 years or older without an OSSD) need:
   * English, grade 12 (U) with a grade of 65 per cent or higher
   * Mathematics, grade 11 (U) or (M) or grade 12 (U) with a grade of 60 per cent or higher
   * Overall average of 65 per cent or higher in the two required courses
   * Post-secondary credits may be considered
6. Application questionnaire and portfolio are required for qualified applicants.
7. Meeting minimum requirements does not guarantee admission to the program, as applicants may need grades higher than stated.
8. Disclaimer: Information on the website is subject to change without notice.
9. Contact details or specific names were not mentioned in the text.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514319000," This college offers a degree program with required credits for mature applicants to have English and Math credits. Course exemptions can be achieved through college or university credits, as outlined in the Transfer Guide. The college has been granted consent by the Ministry of Colleges and Universities to offer this applied degree for a seven-year term starting September 1, 2017.

Mature applicants need to submit all academic transcripts for consideration. Domestic students should apply through Ontario Colleges, while international students should apply through the George Brown College Online Application System. For more information about the program or the college, contact the Program Co-ordinator, Nastaran Dadashi (nastaran.dadashi@georgebrown.ca), or the Contact Centre at 416-415-2000 (TTY 1-877-515-5559) or long distance 1-800-265-2002.

The School of Design is located at the Waterfront Campus, 3 Lower Jarvis St., Toronto, Ontario, Canada. The program resides in a new 103,000-square-foot facility in the Daniels Waterfront – City of the Arts development. For more information or to visit the campus, contact digitalexperience@georgebrown.ca or book a virtual meeting on the International Contact Us page.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
1705971360514319000," The George Brown College offers various academic programs in fields such as virtual and augmented reality, usability and testing, design innovation, graphic design, and art and foundation. Their state-of-the-art building provides facilities like a virtual and augmented reality lab, usability and testing lab, Future Ways of Living lab, peer tutor lab, digital sandbox, incubators, prototyping and workshop spaces, and design and innovation showcase spaces. Information sessions and campus tours can be booked for more details about the programs and career options. Programs mentioned include Graphic Design (G102) and Art and Design Foundation (G108). Interested individuals are encouraged to sign up to receive tailored resources and learn more about their options, the college, and life at George Brown by providing their first name, last name, email address, country, and indicating whether they're domestic or international students.",scraped_pages/programpages2024/Honours Bachelor of Digital Experience Design Program G301 | George Brown College2024.txt
