,contextId,context,question
0,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",What is the name of this Ontario College certificate program?
1,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", What code is associated with Construction Craft Worker Foundations?"
2,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", Is this a full-time program and how long does it last?"
3,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", In which starting months is this program open for application?"
4,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", What is the tuition fee for domestic students in this program?"
5,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", Which centre and school offers this Construction Craft Worker Foundations program?"
6,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", Where is the Casa Loma Campus located?"
7,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", What type of experiential learning is included in this program and how many hours of work placement are there?"
8,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", Is this program available in fall 2023 or winter 2024?"
9,766b3da4-70ac-486f-a0b8-00fcf038224c," Program Name: Construction Craft Worker Foundations
Code: A106
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 18 weeks
Starting Months: April
Domestic Tuition: Free for participants
Centre: Preparative & Liberal Studies
School: Work & College Preparation
Location: Casa Loma Campus
Experiential Learning: Includes classroom and construction lab instruction, 160 hours of work placement, and workshops.
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Open
Related Programs: Construction Techniques (T176), Practical Nursing (PN) (S121), Carpentry and Renovation Technician (T180)
Program Description: A free, 18-week supported education program developed in collaboration with the Centre for Addiction and Mental Health (CAMH) for individuals with mental health and/or addiction challenges to gain skills for entry-level work in Toronto's construction industry.",", What are some related programs to Construction Craft Worker Foundations?"
