,contextId,context,question
0,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",What is the name of the Honours Bachelor's Degree program?
1,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", What is the code for the Honours Bachelor of Commerce (Digital Marketing) degree?"
2,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", what type of credential will be obtained after completing this program?"
3,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", How long does it take to complete this program in total?"
4,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", In which months can one start this program?"
5,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", What is the domestic tuition fee for the first year of this program?"
6,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", What is the international tuition fee for the first year of this program?"
7,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", Where is this program located?"
8,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", Does this program offer experiential learning opportunities?"
9,8295bec7-3699-474b-808b-9082ba388ded," Program Name: Honours Bachelor of Commerce (Digital Marketing)
Code: B312
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters) plus 1 co-op work term
Starting Months: January, September
Domestic Tuition: $7,455.00 *
International Tuition: $20,357.00 **
Location: St. James Campus
Experiential Learning: Yes
Fall 2023 Delivery: Semester 1: On Campus
Winter 2024 Delivery: Semester 1, 2: On Campus
Program Overview: The Honours Bachelor of Commerce (Digital Marketing) degree assembles technology and personalized experiences in marketing. Students will develop essential skills and competencies in business concepts during the first two years, followed by analyzing and applying digital marketing concepts and practices in the final two years.
Graduates will succeed in a field that has transformed how products and services are marketed and harness the power of the internet to conquer modern marketing challenges.
The program includes two foundational years common to other business degree programs, followed by two years in which students specialize in digital marketing.

* Domestic tuition fee for the first year
** International tuition fee for the first year",", What topics will be covered during the first two years of the program?"
