,contextId,context,question
0,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",1. How do I access my George Brown college email account?
1,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",", What is the email address format for George Brown students?"
2,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",", Can I submit assignments using my college email address?"
3,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",", How long does email account access last after completing a program?"
4,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",", What functions does the calendar in Microsoft Exchange offer?"
5,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",", How can I send group emails to other students in specific programs or courses?"
6,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",", Where are the instructions for accessing the account on Android devices located?"
7,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",", What happens if I delete an email message from my mobile device?"
8,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",", Where can I find GBC's parameters for synchronizing with email providers like Apple?"
9,d1d6ba23-d1e8-4cc0-8ba6-18580b231629," Every George Brown student is provided with a college email account for important notifications and access to Microsoft Exchange calendar functions. The email address consists of the student's first name and last name, and if necessary, a number. Students can access their account with 100MB storage capacity by going to <https://outlook.office.com>. Teachers expect students to use this email address for submitting assignments. Access is available to currently registered students and up to 1 year after the last registered course. The calendar allows coordination with instructors and key college contacts regarding office hours, advising sessions, consultations, and other important dates. Students can also send group emails to other students by program or course. Email addresses remain active during the time at George Brown and for one year following completion of a program. Instructions for accessing the account vary depending on device type (Android or iOS). Deleting an email message from a mobile device will result in its removal from the College’s email system. GBC parameters for synchronizing with email providers (e.g., GBC) are available on Apple's 'Exchange ActiveSync Account Quick Setup Guide' at <http://support.apple.com/kb/HT2480>.",?
