,contextId,context,question
0,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",What is the name of this recreation management program in gerontology?
1,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", What code is associated with this program?"
2,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", What type of credential will be awarded upon completion?"
3,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", How long does this full-time program last?"
4,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", In which starting months can students join this program?"
5,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", How much does a domestic student pay for tuition?"
6,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", What is the international student tuition fee?"
7,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", Which centre offers this health sciences based program?"
8,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", What is the name of the school providing this education?"
9,a8a4ead9-3057-4658-86c0-713e9ef8e8ec," Program Name: Recreation Management in Gerontology
Code: C152
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,947.00 *
International Tuition: $17,595.00 **
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1 and 3, Winter 2024 - Semesters 2 and 4)
Program Length: 2 years
Program Type: Ontario College Diploma
Fees: Domestic - $3,947.00, International - $17,595.00
Study Mode: Full-time
Duration (semesters): 4 semesters
Centre Name: Health Sciences
School Name: Health & Wellness
Campus Location: Waterfront Campus
Program Availability: Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Related Programs: Personal Support Worker (C112), Hearing Instrument Specialist (S117), Community Worker (C101)",", Where is the waterfront campus located?"
