,contextId,context,question
0,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",What is the name of the Bachelor's degree program?
1,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", What is the code for the Building Renovation Technology Pathway in this program?"
2,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", What kind of credential will students receive upon completion of this program?"
3,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", In what method of study is this program offered?"
4,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", How long does it take to complete this program?"
5,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", When can domestic students apply for this program and when cannot international students?"
6,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", Which colleges collaborate on this program?"
7,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", What skills does the degree completion program prepare students with?"
8,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", Where is the location of the Management School at George Brown College?"
9,c2e0b967-28f5-4a2a-8a33-8b83c3839a87," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Building Renovation Technology)
Code: B304
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: This program is a tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Graduates of the Building Renovation Technology Ontario College Advanced Diploma program receive credit for 14 courses and enter the program in semester 4. The degree completion program prepares students with skills in business administration, management, accounting, project management, leadership, communication and applied research competencies, enabling them to grow their own skilled trades business, take on greater responsibilities in their current work environment and/or pursue management careers in medium to large organizations.
Tuition & Fees: Domestic tuition varies based on the course or courses enrolled in at any given time. Contact the department for more information at business@georgebrown.ca
Program Delivery: Fall 2023 - Semester 4 online, Winter 2024 - Semesters 4, 5, 6 online
Availability: Domestic students can apply in Fall 2023 and Spring 2024, while international students cannot apply for this program.
Contact Us: For more information, please use the email address business@georgebrown.ca.",", What is the contact email address for program inquiries?"
