,contextId,context,question
0,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",1. What are the purposes of using the George Brown College Student Photo ID card?
1,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
2. Who is eligible for the Full-Time student Photo ID card and is there any fee required?"
2,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
3. Which students are eligible for specific photo ID cards upon payment of a fee?"
3,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
4. How long is the Student Photo Identification Card valid?"
4,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
5. Where should students present their GBC photo ID card to access certain facilities, services, and for attendance or exams?"
5,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
6. What information does the Student Photo Identification Card contain?"
6,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
7. Who is responsible for all transactions made with the student card and what items do they agree to return?"
7,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
8. How can students obtain a new card upon return of an expired one?"
8,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
9. Where should students return their Student Photo Identification Card upon separation, withdrawal, or termination from the College?"
9,021d26fb-f8e0-43d7-9eb7-9b6ba3ec367f," * The George Brown College Student Photo ID card is used to identify students and facilitate safety, academic integrity, security, and access to services and facilities.
* Full-time students in post-secondary programs, ESL program students, and students in Early Childhood Education, Early Childhood Education Consecutive Degree, and Early Childhood Assistant programs are eligible for the Full-Time student Photo ID card. No fee is required for this card.
* Part-time, Continuous Learning Students, Apprentice and other training program students are eligible for specific photo ID cards upon payment of the assessed photo ID card fee.
* The Student Photo Identification Card is valid only while the student is an active registered student in the college.
* Students may be required to present their GBC photo ID card to access certain facilities, services, and for attendance or exams.
* The card is non-transferable and bears the name, student identification number, and photograph of the bearer.
* Students are responsible for all transactions made with their card and agree to return all borrowed items or pay replacement value for lost or damaged items.
* The card is valid while the student continues to be an active student at George Brown College, and a new card can be obtained upon return of an expired card.
* The card must be returned to the Photo ID office or the Library Learning Commons upon separation, withdrawal, or termination from the College.
* A fee will be charged for replacement cards.
* Students may obtain a refund for print/copy balances remaining on their student card above $3 by submitting a completed refund request form at the Library Learning Commons.",", 
10. What fee will be charged for replacement cards?"
