,contextId,context,question
0,7451c5c9-5f5b-49cf-a443-5990c299b9bc," Career Services provides support to Academic Centres through workshops, events, an online job board, resource materials, and designated Career Advisors for program-specific content and career curriculum development. Faculty are welcome to consult with their assigned Career Advisor for career-related resources or tools for classroom instruction.

Career Services offers workshops on various career development topics including resume and cover letter writing, interview skills, networking, job search strategies, and using LinkedIn effectively. Workshops can be requested through a Workshop Request Form. Due to current operational levels, most workshops will be delivered virtually.

Workshops cover essentials about Career Services, interview preparation, understanding employer requirements, networking, developing an online presence, and effective use of Interview Prep tool for mock interviews and feedback.

Interested parties can learn more about Career Services and resources by visiting the Students & Alumni page.

There is no explicit mention of specific programs offered by the college in the text.",1. What topics does Career Services cover in their workshops?
1,7451c5c9-5f5b-49cf-a443-5990c299b9bc," Career Services provides support to Academic Centres through workshops, events, an online job board, resource materials, and designated Career Advisors for program-specific content and career curriculum development. Faculty are welcome to consult with their assigned Career Advisor for career-related resources or tools for classroom instruction.

Career Services offers workshops on various career development topics including resume and cover letter writing, interview skills, networking, job search strategies, and using LinkedIn effectively. Workshops can be requested through a Workshop Request Form. Due to current operational levels, most workshops will be delivered virtually.

Workshops cover essentials about Career Services, interview preparation, understanding employer requirements, networking, developing an online presence, and effective use of Interview Prep tool for mock interviews and feedback.

Interested parties can learn more about Career Services and resources by visiting the Students & Alumni page.

There is no explicit mention of specific programs offered by the college in the text.",", 
2. How can faculty request career-related resources or tools from Career Services?"
2,7451c5c9-5f5b-49cf-a443-5990c299b9bc," Career Services provides support to Academic Centres through workshops, events, an online job board, resource materials, and designated Career Advisors for program-specific content and career curriculum development. Faculty are welcome to consult with their assigned Career Advisor for career-related resources or tools for classroom instruction.

Career Services offers workshops on various career development topics including resume and cover letter writing, interview skills, networking, job search strategies, and using LinkedIn effectively. Workshops can be requested through a Workshop Request Form. Due to current operational levels, most workshops will be delivered virtually.

Workshops cover essentials about Career Services, interview preparation, understanding employer requirements, networking, developing an online presence, and effective use of Interview Prep tool for mock interviews and feedback.

Interested parties can learn more about Career Services and resources by visiting the Students & Alumni page.

There is no explicit mention of specific programs offered by the college in the text.",", 
3. Where can I find the Workshop Request Form for Career Services?"
3,7451c5c9-5f5b-49cf-a443-5990c299b9bc," Career Services provides support to Academic Centres through workshops, events, an online job board, resource materials, and designated Career Advisors for program-specific content and career curriculum development. Faculty are welcome to consult with their assigned Career Advisor for career-related resources or tools for classroom instruction.

Career Services offers workshops on various career development topics including resume and cover letter writing, interview skills, networking, job search strategies, and using LinkedIn effectively. Workshops can be requested through a Workshop Request Form. Due to current operational levels, most workshops will be delivered virtually.

Workshops cover essentials about Career Services, interview preparation, understanding employer requirements, networking, developing an online presence, and effective use of Interview Prep tool for mock interviews and feedback.

Interested parties can learn more about Career Services and resources by visiting the Students & Alumni page.

There is no explicit mention of specific programs offered by the college in the text.",", 
4. In what format are most Career Services workshops being delivered currently?"
4,7451c5c9-5f5b-49cf-a443-5990c299b9bc," Career Services provides support to Academic Centres through workshops, events, an online job board, resource materials, and designated Career Advisors for program-specific content and career curriculum development. Faculty are welcome to consult with their assigned Career Advisor for career-related resources or tools for classroom instruction.

Career Services offers workshops on various career development topics including resume and cover letter writing, interview skills, networking, job search strategies, and using LinkedIn effectively. Workshops can be requested through a Workshop Request Form. Due to current operational levels, most workshops will be delivered virtually.

Workshops cover essentials about Career Services, interview preparation, understanding employer requirements, networking, developing an online presence, and effective use of Interview Prep tool for mock interviews and feedback.

Interested parties can learn more about Career Services and resources by visiting the Students & Alumni page.

There is no explicit mention of specific programs offered by the college in the text.",", 
5. What essentials are covered in Career Services workshops regarding interview preparation?"
5,7451c5c9-5f5b-49cf-a443-5990c299b9bc," Career Services provides support to Academic Centres through workshops, events, an online job board, resource materials, and designated Career Advisors for program-specific content and career curriculum development. Faculty are welcome to consult with their assigned Career Advisor for career-related resources or tools for classroom instruction.

Career Services offers workshops on various career development topics including resume and cover letter writing, interview skills, networking, job search strategies, and using LinkedIn effectively. Workshops can be requested through a Workshop Request Form. Due to current operational levels, most workshops will be delivered virtually.

Workshops cover essentials about Career Services, interview preparation, understanding employer requirements, networking, developing an online presence, and effective use of Interview Prep tool for mock interviews and feedback.

Interested parties can learn more about Career Services and resources by visiting the Students & Alumni page.

There is no explicit mention of specific programs offered by the college in the text.",", 
6. How can parties interested in Career Services and resources learn more about them?"
6,7451c5c9-5f5b-49cf-a443-5990c299b9bc," Career Services provides support to Academic Centres through workshops, events, an online job board, resource materials, and designated Career Advisors for program-specific content and career curriculum development. Faculty are welcome to consult with their assigned Career Advisor for career-related resources or tools for classroom instruction.

Career Services offers workshops on various career development topics including resume and cover letter writing, interview skills, networking, job search strategies, and using LinkedIn effectively. Workshops can be requested through a Workshop Request Form. Due to current operational levels, most workshops will be delivered virtually.

Workshops cover essentials about Career Services, interview preparation, understanding employer requirements, networking, developing an online presence, and effective use of Interview Prep tool for mock interviews and feedback.

Interested parties can learn more about Career Services and resources by visiting the Students & Alumni page.

There is no explicit mention of specific programs offered by the college in the text.",?
7,a4e9a100-68cb-440d-b866-760b4c29fd8e," To receive up-to-date information and resources for use in the classroom, visit the Students & Alumni page. Sign up to be kept informed about application deadlines, college news, upcoming events, tours, and more. The contact details provided are 416-415-2000 for regular queries and 1-877-515-5559 for TTY. For inquiries via email, use ask.george@georgebrown.ca. The college's social media hub can also be visited for additional information. Note that the information contained in the website is subject to change without notice and should not be considered as a representation, offer, or warranty. Students are required to verify George Brown College fee requirements independently.",What is the phone number for regular queries about George Brown College?
8,a4e9a100-68cb-440d-b866-760b4c29fd8e," To receive up-to-date information and resources for use in the classroom, visit the Students & Alumni page. Sign up to be kept informed about application deadlines, college news, upcoming events, tours, and more. The contact details provided are 416-415-2000 for regular queries and 1-877-515-5559 for TTY. For inquiries via email, use ask.george@georgebrown.ca. The college's social media hub can also be visited for additional information. Note that the information contained in the website is subject to change without notice and should not be considered as a representation, offer, or warranty. Students are required to verify George Brown College fee requirements independently.",", What is the TTY number for inquiries at George Brown College?"
9,a4e9a100-68cb-440d-b866-760b4c29fd8e," To receive up-to-date information and resources for use in the classroom, visit the Students & Alumni page. Sign up to be kept informed about application deadlines, college news, upcoming events, tours, and more. The contact details provided are 416-415-2000 for regular queries and 1-877-515-5559 for TTY. For inquiries via email, use ask.george@georgebrown.ca. The college's social media hub can also be visited for additional information. Note that the information contained in the website is subject to change without notice and should not be considered as a representation, offer, or warranty. Students are required to verify George Brown College fee requirements independently.",", How can students contact George Brown College via email?"
10,a4e9a100-68cb-440d-b866-760b4c29fd8e," To receive up-to-date information and resources for use in the classroom, visit the Students & Alumni page. Sign up to be kept informed about application deadlines, college news, upcoming events, tours, and more. The contact details provided are 416-415-2000 for regular queries and 1-877-515-5559 for TTY. For inquiries via email, use ask.george@georgebrown.ca. The college's social media hub can also be visited for additional information. Note that the information contained in the website is subject to change without notice and should not be considered as a representation, offer, or warranty. Students are required to verify George Brown College fee requirements independently.",", Where can students find the college's social media hub?"
11,a4e9a100-68cb-440d-b866-760b4c29fd8e," To receive up-to-date information and resources for use in the classroom, visit the Students & Alumni page. Sign up to be kept informed about application deadlines, college news, upcoming events, tours, and more. The contact details provided are 416-415-2000 for regular queries and 1-877-515-5559 for TTY. For inquiries via email, use ask.george@georgebrown.ca. The college's social media hub can also be visited for additional information. Note that the information contained in the website is subject to change without notice and should not be considered as a representation, offer, or warranty. Students are required to verify George Brown College fee requirements independently.",", Is the information on the website subject to change without notice?"
12,a4e9a100-68cb-440d-b866-760b4c29fd8e," To receive up-to-date information and resources for use in the classroom, visit the Students & Alumni page. Sign up to be kept informed about application deadlines, college news, upcoming events, tours, and more. The contact details provided are 416-415-2000 for regular queries and 1-877-515-5559 for TTY. For inquiries via email, use ask.george@georgebrown.ca. The college's social media hub can also be visited for additional information. Note that the information contained in the website is subject to change without notice and should not be considered as a representation, offer, or warranty. Students are required to verify George Brown College fee requirements independently.",", How should students verify George Brown College fee requirements?"
13,a4e9a100-68cb-440d-b866-760b4c29fd8e," To receive up-to-date information and resources for use in the classroom, visit the Students & Alumni page. Sign up to be kept informed about application deadlines, college news, upcoming events, tours, and more. The contact details provided are 416-415-2000 for regular queries and 1-877-515-5559 for TTY. For inquiries via email, use ask.george@georgebrown.ca. The college's social media hub can also be visited for additional information. Note that the information contained in the website is subject to change without notice and should not be considered as a representation, offer, or warranty. Students are required to verify George Brown College fee requirements independently.",?
