,contextId,context,question
0,3dca8b13-6e20-49bb-baa7-ab86dc073718," Changes to the LLC Laptop Loan Policy took effect on December 18, 2023. The college provides access to various resources for students both on and off campus. Below are some of the resources, their types, and access information:

1. AccessEngineering (McGraw-Hill): Over 300 reference books in 14 major areas of engineering. Type: DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS. Access: On & Off Campus. GBC ID & password required for off-campus use.
2. Books@OVID (OVID): Full text access to many essential nursing resources. Titles include Handbook of Medical-Surgical Nursing, Lippincott's Nursing Drug Guide, and Nursing Care Plans & Documentation. Type: E-BOOKS, Guidelines. Access: On & Off Campus. GBC ID & password required for off-campus use.
3. Canadian in Context (Gale): Covers Canadian topics, people, places, and events. Full text access to magazines, academic journals, news articles, images, videos, audio files, and websites. Type: ARTICLES, ENCYCLOPEDIAS, FULL TEXT. Access: On & Off Campus. GBC ID & password required for off-campus use.
4. Canadian Oxford Dictionary: Features 2,200 uniquely Canadian words and senses, 350 usage notes, 7,000 idiomatic expressions, 5,500 biographical entries, and over 5,600 place names. Type: DICTIONARIES. Access: On & Off Campus. GBC ID & password required for off-campus use.
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Provides environmental and occupational health and safety standards, legislation, articles, and reports including MSDS, CHEMINFO, and the Canadian Electrical Code (Part 1). Access Note: To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time. If you receive an error message, please try back again later. Type: E-BOOKS, STANDARDS & CODES. Access: On & Off Campus. GBC ID & password required.

There is no specific program information mentioned in the text.",What type of resources does the college provide for students?
1,3dca8b13-6e20-49bb-baa7-ab86dc073718," Changes to the LLC Laptop Loan Policy took effect on December 18, 2023. The college provides access to various resources for students both on and off campus. Below are some of the resources, their types, and access information:

1. AccessEngineering (McGraw-Hill): Over 300 reference books in 14 major areas of engineering. Type: DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS. Access: On & Off Campus. GBC ID & password required for off-campus use.
2. Books@OVID (OVID): Full text access to many essential nursing resources. Titles include Handbook of Medical-Surgical Nursing, Lippincott's Nursing Drug Guide, and Nursing Care Plans & Documentation. Type: E-BOOKS, Guidelines. Access: On & Off Campus. GBC ID & password required for off-campus use.
3. Canadian in Context (Gale): Covers Canadian topics, people, places, and events. Full text access to magazines, academic journals, news articles, images, videos, audio files, and websites. Type: ARTICLES, ENCYCLOPEDIAS, FULL TEXT. Access: On & Off Campus. GBC ID & password required for off-campus use.
4. Canadian Oxford Dictionary: Features 2,200 uniquely Canadian words and senses, 350 usage notes, 7,000 idiomatic expressions, 5,500 biographical entries, and over 5,600 place names. Type: DICTIONARIES. Access: On & Off Campus. GBC ID & password required for off-campus use.
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Provides environmental and occupational health and safety standards, legislation, articles, and reports including MSDS, CHEMINFO, and the Canadian Electrical Code (Part 1). Access Note: To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time. If you receive an error message, please try back again later. Type: E-BOOKS, STANDARDS & CODES. Access: On & Off Campus. GBC ID & password required.

There is no specific program information mentioned in the text.",", Which resources have access to essential nursing materials?"
2,3dca8b13-6e20-49bb-baa7-ab86dc073718," Changes to the LLC Laptop Loan Policy took effect on December 18, 2023. The college provides access to various resources for students both on and off campus. Below are some of the resources, their types, and access information:

1. AccessEngineering (McGraw-Hill): Over 300 reference books in 14 major areas of engineering. Type: DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS. Access: On & Off Campus. GBC ID & password required for off-campus use.
2. Books@OVID (OVID): Full text access to many essential nursing resources. Titles include Handbook of Medical-Surgical Nursing, Lippincott's Nursing Drug Guide, and Nursing Care Plans & Documentation. Type: E-BOOKS, Guidelines. Access: On & Off Campus. GBC ID & password required for off-campus use.
3. Canadian in Context (Gale): Covers Canadian topics, people, places, and events. Full text access to magazines, academic journals, news articles, images, videos, audio files, and websites. Type: ARTICLES, ENCYCLOPEDIAS, FULL TEXT. Access: On & Off Campus. GBC ID & password required for off-campus use.
4. Canadian Oxford Dictionary: Features 2,200 uniquely Canadian words and senses, 350 usage notes, 7,000 idiomatic expressions, 5,500 biographical entries, and over 5,600 place names. Type: DICTIONARIES. Access: On & Off Campus. GBC ID & password required for off-campus use.
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Provides environmental and occupational health and safety standards, legislation, articles, and reports including MSDS, CHEMINFO, and the Canadian Electrical Code (Part 1). Access Note: To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time. If you receive an error message, please try back again later. Type: E-BOOKS, STANDARDS & CODES. Access: On & Off Campus. GBC ID & password required.

There is no specific program information mentioned in the text.",", How many major areas of engineering are covered in AccessEngineering?"
3,3dca8b13-6e20-49bb-baa7-ab86dc073718," Changes to the LLC Laptop Loan Policy took effect on December 18, 2023. The college provides access to various resources for students both on and off campus. Below are some of the resources, their types, and access information:

1. AccessEngineering (McGraw-Hill): Over 300 reference books in 14 major areas of engineering. Type: DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS. Access: On & Off Campus. GBC ID & password required for off-campus use.
2. Books@OVID (OVID): Full text access to many essential nursing resources. Titles include Handbook of Medical-Surgical Nursing, Lippincott's Nursing Drug Guide, and Nursing Care Plans & Documentation. Type: E-BOOKS, Guidelines. Access: On & Off Campus. GBC ID & password required for off-campus use.
3. Canadian in Context (Gale): Covers Canadian topics, people, places, and events. Full text access to magazines, academic journals, news articles, images, videos, audio files, and websites. Type: ARTICLES, ENCYCLOPEDIAS, FULL TEXT. Access: On & Off Campus. GBC ID & password required for off-campus use.
4. Canadian Oxford Dictionary: Features 2,200 uniquely Canadian words and senses, 350 usage notes, 7,000 idiomatic expressions, 5,500 biographical entries, and over 5,600 place names. Type: DICTIONARIES. Access: On & Off Campus. GBC ID & password required for off-campus use.
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Provides environmental and occupational health and safety standards, legislation, articles, and reports including MSDS, CHEMINFO, and the Canadian Electrical Code (Part 1). Access Note: To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time. If you receive an error message, please try back again later. Type: E-BOOKS, STANDARDS & CODES. Access: On & Off Campus. GBC ID & password required.

There is no specific program information mentioned in the text.",", What is included in the Canadian Oxford Dictionary?"
4,3dca8b13-6e20-49bb-baa7-ab86dc073718," Changes to the LLC Laptop Loan Policy took effect on December 18, 2023. The college provides access to various resources for students both on and off campus. Below are some of the resources, their types, and access information:

1. AccessEngineering (McGraw-Hill): Over 300 reference books in 14 major areas of engineering. Type: DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS. Access: On & Off Campus. GBC ID & password required for off-campus use.
2. Books@OVID (OVID): Full text access to many essential nursing resources. Titles include Handbook of Medical-Surgical Nursing, Lippincott's Nursing Drug Guide, and Nursing Care Plans & Documentation. Type: E-BOOKS, Guidelines. Access: On & Off Campus. GBC ID & password required for off-campus use.
3. Canadian in Context (Gale): Covers Canadian topics, people, places, and events. Full text access to magazines, academic journals, news articles, images, videos, audio files, and websites. Type: ARTICLES, ENCYCLOPEDIAS, FULL TEXT. Access: On & Off Campus. GBC ID & password required for off-campus use.
4. Canadian Oxford Dictionary: Features 2,200 uniquely Canadian words and senses, 350 usage notes, 7,000 idiomatic expressions, 5,500 biographical entries, and over 5,600 place names. Type: DICTIONARIES. Access: On & Off Campus. GBC ID & password required for off-campus use.
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Provides environmental and occupational health and safety standards, legislation, articles, and reports including MSDS, CHEMINFO, and the Canadian Electrical Code (Part 1). Access Note: To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time. If you receive an error message, please try back again later. Type: E-BOOKS, STANDARDS & CODES. Access: On & Off Campus. GBC ID & password required.

There is no specific program information mentioned in the text.",", How can one access CCOHS - Academic Support Program's Legislation and Standards section?"
5,3dca8b13-6e20-49bb-baa7-ab86dc073718," Changes to the LLC Laptop Loan Policy took effect on December 18, 2023. The college provides access to various resources for students both on and off campus. Below are some of the resources, their types, and access information:

1. AccessEngineering (McGraw-Hill): Over 300 reference books in 14 major areas of engineering. Type: DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS. Access: On & Off Campus. GBC ID & password required for off-campus use.
2. Books@OVID (OVID): Full text access to many essential nursing resources. Titles include Handbook of Medical-Surgical Nursing, Lippincott's Nursing Drug Guide, and Nursing Care Plans & Documentation. Type: E-BOOKS, Guidelines. Access: On & Off Campus. GBC ID & password required for off-campus use.
3. Canadian in Context (Gale): Covers Canadian topics, people, places, and events. Full text access to magazines, academic journals, news articles, images, videos, audio files, and websites. Type: ARTICLES, ENCYCLOPEDIAS, FULL TEXT. Access: On & Off Campus. GBC ID & password required for off-campus use.
4. Canadian Oxford Dictionary: Features 2,200 uniquely Canadian words and senses, 350 usage notes, 7,000 idiomatic expressions, 5,500 biographical entries, and over 5,600 place names. Type: DICTIONARIES. Access: On & Off Campus. GBC ID & password required for off-campus use.
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Provides environmental and occupational health and safety standards, legislation, articles, and reports including MSDS, CHEMINFO, and the Canadian Electrical Code (Part 1). Access Note: To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time. If you receive an error message, please try back again later. Type: E-BOOKS, STANDARDS & CODES. Access: On & Off Campus. GBC ID & password required.

There is no specific program information mentioned in the text.",?
6,11f4c85e-fdf8-488a-bcc8-74139ef75944," The text provides information about various dictionaries offered by the college, along with their access types (ON & OFF CAMPUS) and the requirement for GBC ID & password for off-campus use. Here's a factual summary of the content:

1. ODES Access: ON & OFF CAMPUS with GBC ID & password required for off-campus use
2. Dictionary of Accounting (Type: DICTIONARIES) - Covers definitions of financial accounting, financial reporting, management accounting, direct and indirect taxation, corporate finance, and auditing.
3. Dictionary of Architecture and Landscape Architecture (Type: DICTIONARIES) - Includes entries on architects, terms, periods, and styles; features landscape terms and modern architect biographies.
4. Dictionary of Business and Management (Type: DICTIONARIES) - Contains 7,000 entries covering all areas of business and management, with a wide-ranging and authoritative scope.
5. Dictionary of Economics (Type: DICTIONARIES) - Covers international trade, economic theory, applied microeconomics and macroeconomics, public finance, and environmental economics, among other topics.
6. Dictionary of Finance and Banking (Type: DICTIONARIES) - Addresses vocabulary used in banking, money markets, foreign exchanges, public and government finance, and private investment and borrowing, with a wide and international coverage.
7. Dictionary of Human Resource Management (Type: DICTIONARIES) - Contains over 1,400 entries on human resource management, personnel, and industrial relations.

There is no specific mention of any program offered by the college in this text. Therefore, if there's no other relevant information to extract, an empty text should be returned.",What type of access does ODES have for the dictionaries?
7,11f4c85e-fdf8-488a-bcc8-74139ef75944," The text provides information about various dictionaries offered by the college, along with their access types (ON & OFF CAMPUS) and the requirement for GBC ID & password for off-campus use. Here's a factual summary of the content:

1. ODES Access: ON & OFF CAMPUS with GBC ID & password required for off-campus use
2. Dictionary of Accounting (Type: DICTIONARIES) - Covers definitions of financial accounting, financial reporting, management accounting, direct and indirect taxation, corporate finance, and auditing.
3. Dictionary of Architecture and Landscape Architecture (Type: DICTIONARIES) - Includes entries on architects, terms, periods, and styles; features landscape terms and modern architect biographies.
4. Dictionary of Business and Management (Type: DICTIONARIES) - Contains 7,000 entries covering all areas of business and management, with a wide-ranging and authoritative scope.
5. Dictionary of Economics (Type: DICTIONARIES) - Covers international trade, economic theory, applied microeconomics and macroeconomics, public finance, and environmental economics, among other topics.
6. Dictionary of Finance and Banking (Type: DICTIONARIES) - Addresses vocabulary used in banking, money markets, foreign exchanges, public and government finance, and private investment and borrowing, with a wide and international coverage.
7. Dictionary of Human Resource Management (Type: DICTIONARIES) - Contains over 1,400 entries on human resource management, personnel, and industrial relations.

There is no specific mention of any program offered by the college in this text. Therefore, if there's no other relevant information to extract, an empty text should be returned.",", Which dictionary covers financial accounting and reporting?"
8,11f4c85e-fdf8-488a-bcc8-74139ef75944," The text provides information about various dictionaries offered by the college, along with their access types (ON & OFF CAMPUS) and the requirement for GBC ID & password for off-campus use. Here's a factual summary of the content:

1. ODES Access: ON & OFF CAMPUS with GBC ID & password required for off-campus use
2. Dictionary of Accounting (Type: DICTIONARIES) - Covers definitions of financial accounting, financial reporting, management accounting, direct and indirect taxation, corporate finance, and auditing.
3. Dictionary of Architecture and Landscape Architecture (Type: DICTIONARIES) - Includes entries on architects, terms, periods, and styles; features landscape terms and modern architect biographies.
4. Dictionary of Business and Management (Type: DICTIONARIES) - Contains 7,000 entries covering all areas of business and management, with a wide-ranging and authoritative scope.
5. Dictionary of Economics (Type: DICTIONARIES) - Covers international trade, economic theory, applied microeconomics and macroeconomics, public finance, and environmental economics, among other topics.
6. Dictionary of Finance and Banking (Type: DICTIONARIES) - Addresses vocabulary used in banking, money markets, foreign exchanges, public and government finance, and private investment and borrowing, with a wide and international coverage.
7. Dictionary of Human Resource Management (Type: DICTIONARIES) - Contains over 1,400 entries on human resource management, personnel, and industrial relations.

There is no specific mention of any program offered by the college in this text. Therefore, if there's no other relevant information to extract, an empty text should be returned.",", Can the Dictionary of Architecture and Landscape Architecture be accessed off-campus?"
9,11f4c85e-fdf8-488a-bcc8-74139ef75944," The text provides information about various dictionaries offered by the college, along with their access types (ON & OFF CAMPUS) and the requirement for GBC ID & password for off-campus use. Here's a factual summary of the content:

1. ODES Access: ON & OFF CAMPUS with GBC ID & password required for off-campus use
2. Dictionary of Accounting (Type: DICTIONARIES) - Covers definitions of financial accounting, financial reporting, management accounting, direct and indirect taxation, corporate finance, and auditing.
3. Dictionary of Architecture and Landscape Architecture (Type: DICTIONARIES) - Includes entries on architects, terms, periods, and styles; features landscape terms and modern architect biographies.
4. Dictionary of Business and Management (Type: DICTIONARIES) - Contains 7,000 entries covering all areas of business and management, with a wide-ranging and authoritative scope.
5. Dictionary of Economics (Type: DICTIONARIES) - Covers international trade, economic theory, applied microeconomics and macroeconomics, public finance, and environmental economics, among other topics.
6. Dictionary of Finance and Banking (Type: DICTIONARIES) - Addresses vocabulary used in banking, money markets, foreign exchanges, public and government finance, and private investment and borrowing, with a wide and international coverage.
7. Dictionary of Human Resource Management (Type: DICTIONARIES) - Contains over 1,400 entries on human resource management, personnel, and industrial relations.

There is no specific mention of any program offered by the college in this text. Therefore, if there's no other relevant information to extract, an empty text should be returned.",", How many entries does the Dictionary of Business and Management contain?"
