,contextId,context,question
0,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",1. Who is most affected by sexual violence?
1,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",2. What percentage of women aged 15 or older have reported experiencing sexual assault?
2,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",3. Who faces greater risks of experiencing sexual violence besides women and girls?
3,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",4. What has been the focus of prevention efforts and education regarding sexual violence?
4,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",5. How does this approach reinforce victim-blaming ideas about sexual violence?
5,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",6. What is the real cause of sexual violence according to the text?
6,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",7. Who are the perpetrators of most sexual violence cases?
7,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",8. What should be the main focus of prevention initiatives instead of engaging with those at risk?
8,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",9. What attitudes do most men have towards ending sexual and gender-based violence?
9,5ac6f548-ace7-4a5b-8079-5ff451c0c514," * Sexual violence is a pervasive issue affecting women, girls, trans, and non-binary people. One in three women aged 15 or older have reported experiencing sexual assault.
* People who face additional systemic oppression are at greater risk of experiencing sexual violence.
* Prevention efforts and education work have mainly been directed towards women and girls, focusing on safety precautions such as dressing modestly, going out with a buddy, etc.
* This approach reinforces victim-blaming ideas and myths about sexual violence, implying that survivors are responsible for failing to take the right safety precautions.
* Sexual violence is actually an issue of power, not sex, and it is never the fault of the survivor.
* Perpetrators of sexual violence are mostly men.
* Prevention initiatives should focus on decreasing the likelihood that someone will commit an act of violence instead of solely engaging with those at risk.
* Most men have positive attitudes towards ending sexual and gender-based violence.",?
