,contextId,context,question
0,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",What is the name of the one-year certificate program?
1,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", What code should I use to apply for this program?"
2,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", What type of credential will I receive upon completion?"
3,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", How is the study method for this program described?"
4,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", For how long does this program last?"
5,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", When can domestic students start this program?"
6,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", How much is the tuition fee for domestic students?"
7,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", What's the tuition fee for international students?"
8,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", In which centre is this program offered?"
9,5a4dbe5a-8308-436b-a770-09576b99f67d," Program Name: Deafblind & Intervenor Studies
Code: C158
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,685.00
International Tuition: $18,360.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Experiential Learning: Yes
Program Description: A one-year certificate program preparing students to support individuals with combined hearing and vision loss. The hybrid program includes online and in-person components.
Courses: Students will learn how to work with Deafblind children and adults, support Deafblind individuals with complex medical needs, and interact with members of the Deaf community. Practical experience working directly with Deafblind individuals is also gained.
Program Availability (for 2024-2025): Fall (Open for both domestic and international students), Winter (Not Available for either), Spring (Not Available for either).
Related Programs: American Sign Language and Deaf Studies (C114), Personal Support Worker (PSW) (C112)",", Which school provides instruction for this program?"
