,contextId,context,question
0,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",What is the Ontario Student Assistance Program (OSAP)?
1,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",", What are the two forms of funding offered by OSAP?"
2,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",", What is required to register for an OSAP Access Number (OAN)?"
3,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",", When should applicants submit their OSAP applications?"
4,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",", What is the deadline for submitting OSAP applications for part-time students with study periods of 21 weeks or more?"
5,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",", What is the deadline for submitting OSAP applications for part-time students with study periods of 20 weeks or less?"
6,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",", How can returning users obtain a new password?"
7,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",", Where should returning users go to obtain a new OSAP password?"
8,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",", What documentation is required for OSAP application submission?"
9,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",What is the deadline for submitting all required documentation?
10,3860a2a5-3343-415d-aaf1-7fb1717284a6," The Ontario Student Assistance Program (OSAP) is a financial aid program that offers funding for post-secondary education in two forms: grants and loans. To apply for OSAP, applicants need their social insurance number to register for an OSAP Access Number (OAN). Applications should be submitted as early as possible and for each school year the applicant wants to receive funding. The application process typically takes less than 30 minutes.

For part-time students:
- With study periods of 21 weeks or more and for all full-time students, OSAP applications should be submitted no later than 60 days before the end of their study period.
- With study periods of 20 weeks or less, OSAP applications should be submitted no later than 40 days before the end of their study period.

Returning users can obtain a new password by visiting the financial assistance office at any public college or university with their government-issued photo ID and social insurance number card. Required documentation will be listed once the online OSAP application is completed. All required documentation must be submitted no later than 40 days before the end of the study period.

The MSFAA outlines the specific requirements for documentation submission.",What are the specific requirements for documentation submission outlined in the MSFAA?
