,contextId,context,question
0,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",What is the name of this graduate certificate program?
1,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", What is the code for Autism and Behavioural Science program?"
2,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", In which centre is this Health Sciences program located?"
3,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", What is the duration of this 1-year program?"
4,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", Which starting months are available for this program?"
5,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", How much does a domestic student pay for tuition?"
6,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", What is the international student tuition fee?"
7,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", Which school offers the Autism and Behavioural Science program?"
8,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", Where is the Waterfront Campus located?"
9,c9ccbe2e-c09c-4be8-b1c9-bd7e54e87da2," Program Name: Autism and Behavioural Science
Code: C405
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,882.00
International Tuition: $18,324.00
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Field education in semesters 1 and 2
Program Description: Focuses on autism spectrum disorders and therapies, mainly applied behaviour analysis (ABA), for children and adolescents. Enables individuals with university degrees or similar programs to acquire specialized skills and expertise.
Developed in response to growing public concern about services for children with autism spectrum disorders. Designed to deepen expertise and create a pool of qualified individuals to meet the needs of service agencies providing autism or children's services.
Leadership Claim: Program enables graduates to become Board Certified Assistant Behaviour Analysts (BCaBA) with the Behavior Analyst Certification Board (BACB).",", What type of experiential learning is provided in this program?"
