,contextId,context,question
0,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",What is the name of this program?
1,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", What is the code for T167 program?"
2,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", What kind of credential will I receive from this program?"
3,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", How long does this program last?"
4,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", When can I start this program?"
5,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", What is the domestic tuition fee for this program?"
6,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", What is the international tuition fee for this program?"
7,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", Where is this program located?"
8,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", What is the method of study for this program?"
9,765c3032-0811-4847-a0a8-f2e66fdf5b43," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,035.00
International Tuition: $17,584.00
Location: Casa Loma Campus
Method of Study: Full-time
Program Description: A 1-year program focusing on electricity and electronics for residential and commercial electrician applications, covering installation, testing, maintenance, analysis and troubleshooting of electrical systems under supervision of a qualified person. Applicable to domestic students only.
Graduates: Receive a post-secondary certificate.
Career & Postgraduate Study Opportunities: Increases marketability and knowledge of the electrical industry; potential for continuing on to a two-year or three-year program at George Brown College.",", What does this program focus on?"
