,contextId,context,question
0,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",What is the name of the postgraduate certificate program in Residential Construction Management?
1,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", What is the code for this program?"
2,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", What credential will be earned upon completion?"
3,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", How long does this program last?"
4,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", In which starting months is this program available for application?"
5,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", What is the tuition fee for domestic students?"
6,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", Where is this program located?"
7,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", Does this program offer experiential learning opportunities?"
8,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", For which diplomas is this program open to applicants?"
9,515827df-70eb-419f-a53b-db6a17d1a082," Program Name: Residential Construction Management
Code: T408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: May, September
Domestic Tuition: $3,910.00 *
Location: Casa Loma Campus
Experiential Learning: Placement with a member firm of RESCON
Program Availability:
- Fall 2025: Not Available
- Winter 2025: Not Available
- Spring 2025: Open
Related Programs: Building Information Modeling Management (BIM) (T412), Honours Bachelor of Technology (Construction Management) (T312), Construction Engineering Technology (T105)

Note: You may be eligible for a partial tuition scholarship sponsored by RESCON.

The Residential Construction Management postgraduate certificate program is offered to domestic graduates of advanced three-year diplomas in Construction Engineering Technology, Civil Engineering Technology, and Building Renovation Technology. In this program, students will broaden their existing skills for working on low-rise and high-rise residential construction projects, gain experience in estimating, scheduling, and controlling costs of residential construction projects, and ensure compliance with health and safety laws and regulations.

The program consists of project-based coursework and hands-on labs to simulate on-site construction scenarios, providing extensive exposure to the latest industry practices and procedures. This experiential approach prepares students for a career in the field.

* Tuition fee is subject to change and may vary depending on individual circumstances.",", Is it possible to receive a partial tuition scholarship in this program?"
