,contextId,context,question
0,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",What is the name of the jewelry program?
1,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", What code does the Jewellery Essentials program have?"
2,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", What type of credential will students receive after completing this program?"
3,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", How long does it take to complete the Jewellery Essentials program?"
4,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", In which months can students start this program?"
5,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", How much does it cost for a domestic student to attend this program?"
6,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", How much does it cost for an international student to attend this program?"
7,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", In which centre is the Jewellery Essentials program offered?"
8,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", Which school offers the Jewellery Essentials program?"
9,31a986de-c377-4b91-817e-fc767d3682f0," Program Name: Jewellery Essentials
Code: F111
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $6,046.00*
International Tuition: $19,875.00**
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Program Description: The Jewellery Essentials one-year certificate program provides students with the skills and techniques needed to begin a career in the jewellery industry. Students will learn various goldsmithing techniques, create jewellery pieces using fabrication, computer modelling, and casting methods. They will also learn about jewellery history, technical drawing, gemmology, and an overview of the industry.
Skills gained after completing the program:
- Basic knowledge of lost wax casting process
- Produce reproductions and market-ready jewellery pieces
- Create 2D drawings and 3D models of basic jewellery forms
*Domestic tuition may vary based on additional fees or changes in government funding.
**International tuition includes other fees and charges not included in domestic tuition.",", Where is the Casa Loma Campus located?"
