,contextId,context,question
0,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",What is the name of this honours bachelor's degree program?
1,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", What is the code for the Honours Bachelor of Science (Dental Hygiene) program?"
2,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", What type of credential will be received upon completion of this program?"
3,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", How long does it take to complete this program in semesters?"
4,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", When can international students start this program in May?"
5,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", What is the domestic tuition fee for this program?"
6,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", In which centre and school is this program offered?"
7,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", Is this program available in the fall or winter semesters of 2023?"
8,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", Can I compare this program with others?"
9,c2de12a4-2fff-4814-889b-145caa66b236," Program Name: Honours Bachelor of Science (Dental Hygiene)
Code: S305
Credential: Honours Bachelor's Degree
Duration: 3 Semesters
Starting Months: May
Domestic Tuition: $7,500.00 *
Centre: Health Sciences
School: Dental Health
Location: Online
Program Availability:
- Fall 2023: Not Available
- Winter 2024: Not Available
- Spring 2024: Closed
Compare Programs: Available
Related Programs: Restorative Dental Hygiene (S400), Dental Hygiene (S134), Dental Technology (S100)
Application Requirements: Graduate of an Ontario Dental Hygiene Advanced Diploma (three-year) or an Ontario Dental Hygiene Diploma (two-year) program from an accredited publicly funded program, e.g., George Brown or other community colleges, with a minimum GPA of 3.0.
Entrance Scholarship: Eligible for a $1000 entrance scholarship.

*Please note: To begin your studies in May 2024, please apply to the 2023-2024 academic year. Now accepting applications for May 2024.",", Which related programs are also available at this college?"
