,contextId,context,question
0,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",What is the name of the computer systems technician program?
1,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",", What is the code for the computer systems technician program?"
2,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",", What kind of credential will I receive after completing the computer systems technician program?"
3,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",", In how many years will I complete the computer systems technician program?"
4,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",", Is the computer systems technician program offered only in full-time mode?"
5,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",", For how long does the computer systems technician program last?"
6,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",", When can I start the computer systems technician program (in January or September)?"
7,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",What is the domestic tuition fee for the computer systems technician program?
8,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",", In which centre and school is the computer systems technician program located?"
9,8067263e-0731-4a4a-886e-e366ea92df7b," Program Name: Computer Systems Technician
Code: T191
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,236.00 *
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Online
Delivery Method (Fall 2023): Semester 1, 3: Online
Delivery Method (Winter 2024): Semester 1, 2, 4: Online
Program Availability (Fall 2023): Closed for domestic students and international students
Program Availability (Winter 2024): Closed for domestic students and international students

*Domestic tuition fee for the two-year Computer Systems Technician program (T191). Please note that this does not include other fees and expenses.",", How is the computer systems technician program delivered in fall 2023?"
