,contextId,context,question
0,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",What is the name of this fashion management program?
1,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", What is the code for the International Fashion Management program?"
2,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", What type of credential does this program offer?"
3,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", How long does it take to complete the International Fashion Management program?"
4,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", When can international students start this program?"
5,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", How much does international students pay in tuition for this program?"
6,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", In which centre is this fashion management program located?"
7,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", What is the name of the school offering this program?"
8,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", Does this program require experiential learning and what is its component?"
9,02e7726b-adad-42d3-8ceb-e75fe6b2ff8e," Program Name: International Fashion Management
Code: F412
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: September
International Tuition: $17,857.00
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Mandatory field placement with in-campus component and 160 field placement hours in the spring.
Program Description: The International Fashion Management program prepares students for success in the worldwide fashion industry by focusing on theoretical expertise in fashion business practices, global marketing, logistics and supply chain management, with some practical hands-on application.
Additional Information:
- Method of Study: Full-time
- Domestic Tuition: $4,160.00 *
- Program Availability: Fall 2023 (Closed for domestic and international students), Winter 2024 (Not Available for domestic and international students), Spring 2024 (Not Available for domestic and international students).

Related Programs: Fashion Management (F102), Fashion Business Industry (F112), Fashion Techniques and Design (F113)",", What method of study is used for this fashion management program?"
