,contextId,context,question
0,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",What is the name of this art and design foundation program?
1,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", What is the code for this program?"
2,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", What kind of credential will I receive after completing it?"
3,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", How long does this full-time program last?"
4,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", In which months can I start this program?"
5,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", What is the domestic tuition fee for this program?"
6,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", What is the international tuition fee for this program?"
7,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", In which centre and school is this program offered?"
8,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", Where is the location of this campus?"
9,95fd37be-ddee-49c4-a14b-3b0d8e3ad557," Program Name: Art and Design Foundation
Code: G108
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,256.00 *
International Tuition: $18,293.00 **
Centre: Arts, Design & Information Technology
School: Design
Location: Waterfront Campus
Program Description: A one-year certificate program providing a broad base of expert knowledge and technical skills in art and design. Students will develop their portfolio and explore various art and design disciplines.
Semester 1: Introduction to art and design, history of art, observational drawing, form and space, photography, digital design.
Semester 2: Advanced skills, creative problem-solving techniques, design process, colour theory and practice.
Optional courses for gaining specific skills for future education are available.
*Domestic tuition may be subject to change.
**International tuition may vary based on exchange rates and student visa requirements.",", What is the program description for Art and Design Foundation?"
