,contextId,context,question
0,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",1. What topics are covered in Cornerstone's online anti-racism training?
1,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
2. When was the Anti-Racism and Equity Advisory (AREA) Committee established?"
2,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
3. Who are the members of the Anti-Racism and Equity Advisory (AREA) Committee?"
3,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
4. What advice does the AREA Committee provide to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS)?"
4,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
5. Where does the AREA Committee report to?"
5,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
6. What is included in the reading list for faculty, administrators, and students?"
6,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
7. How many participants can participate in the collage-making activity?"
7,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",".,
8. Who conducts the collage-making activity focused on racial identity and culture awareness?"
8,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
9. What contact information is provided for inquiries about the collage activity?"
9,c6e067a4-3d84-47d2-a3dc-2df158cd2a05," The following information can be extracted from the given text:

1. Online anti-racism training is available through Cornerstone (MyLearning) on various topics related to anti-racism and equity.
2. The Anti-Racism and Equity Advisory (AREA) Committee was established in 2020 and includes faculty, students, and staff. It provides advice to the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) on anti-racism practices and cultural diversity throughout the college. The committee reports directly to the GBC Board of Governors.
3. A reading list is available for faculty, administrators, and students to learn more about racism and its different types and forms, as well as how to foster an anti-racist and equitable learning community.
4. There is a two-day collage-making activity focused on racial identity and culture awareness, which can be conducted for groups of 5-8 participants.
5. Information about land acknowledgment is also available.
6. Individuals can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more.
7. Contact information for Nadia Richards for more information about the collage activity.
8. George Brown College contact details: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
9. The website information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
10. What are George Brown College's contact details?"
