,contextId,context,question
0,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",What is the name of this academic upgrading program?
1,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", Which code should I use for applying to this program?"
2,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", What kind of credential will I receive upon completion?"
3,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", Is this method of study suitable for part-time students?"
4,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", How long does it take to complete this program?"
5,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", In which starting months can I begin this program?"
6,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", Where is the Preparatory & Liberal Studies School located?"
7,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", How much does domestic tuition cost for this program?"
8,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", Is enrollment continuous and open only for domestic students?"
9,2d695686-5d9c-4e9d-ba46-7165a24757d1," Program Name: Academic Upgrading (A751)
Code: A751
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 to 3 semesters depending on student’s goals
Starting Months: February, April, June, August, October, December
Program Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Domestic Tuition: No fees - this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Availability: Continuous Open Enrollment for domestic students only
Related Programs: Practical Nursing (PN) (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), Dental Hygiene (S134)",", What other related programs are available at George Brown College?"
