,contextId,context,question
0,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",What is the name of this program?
1,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", What is the code for this Pre-Business program?"
2,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", What kind of credential will I get after completing this program?"
3,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", How long does it take to complete this program?"
4,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", In which months can I start this program?"
5,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", How much does it cost for domestic students to attend this program?"
6,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", How much does it cost for international students to attend this program?"
7,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", Where is the center for this program located?"
8,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", What is the name of the school offering this program?"
9,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", Is this program available in the spring semester 2025?"
10,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",", What related postgraduate programs are offered?"
11,70475d8d-0228-46c3-9f64-9ee4c2520d15," Program Name: Pre-Business
Code: A146
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,823.00
International Tuition: $17,949.00
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Availability:
- Fall 2024: Open for domestic and international students
- Winter 2025: Open for domestic and international students
- Spring 2025: Not Available for domestic or international students
Related Programs: International Business Management (Postgraduate) (B411), Human Resources Management (Postgraduate) (B408)",.?
12,43ce1f6b-3ffe-432a-9376-7d8e99b99466," Extracted Information:

Upon graduation from the Pre-Business program at George Brown College, students may be eligible for advanced standing in several Business Diploma and Advanced Diploma programs. Course credits are transferable to diploma programs at other post-secondary institutions. The program consists of two semesters, with required courses in Business Computer Applications I (COMP 1010), Business Essentials I (BUS 1047), Marketing Essentials I (MARK 1035), Business Math with Remediation (MATH 1027), Introduction to College Communication (COMM 1000), Communicating Across Contexts (COMM 2000), Personal and Professional Development (PREP 1012), Business Essentials II (BUS 1049), Marketing Essentials II (MARK 1036), Principles of Accounting (ACCT 1036), Speaking with Confidence (PREP 1025), Mathematics for Business and Management I (MATH 1008), and a General Education Elective. Students can apply for admission into Semester 2 of select George Brown College Centre for Business Diploma programs.

The School of Work and College Preparation provides access to a Pathway Advisor, who helps facilitate the transition into further post-secondary programs by providing information about upgrading options, pre-programs, and articulation agreements.

Program Learning Outcomes:
1. Examine the impact of economic variables, legislation, ethics, technology, and the environment on an organization's operations.
2. Examine fundamental accounting and financial concepts, including recording transactions, creation of financial statements, and closing of books to support the operation of an organization.
3. Solve basic numeric problems and interpret data related to business scenarios.",1. What economic variables does the Pre-Business program at George Brown College cover?
13,43ce1f6b-3ffe-432a-9376-7d8e99b99466," Extracted Information:

Upon graduation from the Pre-Business program at George Brown College, students may be eligible for advanced standing in several Business Diploma and Advanced Diploma programs. Course credits are transferable to diploma programs at other post-secondary institutions. The program consists of two semesters, with required courses in Business Computer Applications I (COMP 1010), Business Essentials I (BUS 1047), Marketing Essentials I (MARK 1035), Business Math with Remediation (MATH 1027), Introduction to College Communication (COMM 1000), Communicating Across Contexts (COMM 2000), Personal and Professional Development (PREP 1012), Business Essentials II (BUS 1049), Marketing Essentials II (MARK 1036), Principles of Accounting (ACCT 1036), Speaking with Confidence (PREP 1025), Mathematics for Business and Management I (MATH 1008), and a General Education Elective. Students can apply for admission into Semester 2 of select George Brown College Centre for Business Diploma programs.

The School of Work and College Preparation provides access to a Pathway Advisor, who helps facilitate the transition into further post-secondary programs by providing information about upgrading options, pre-programs, and articulation agreements.

Program Learning Outcomes:
1. Examine the impact of economic variables, legislation, ethics, technology, and the environment on an organization's operations.
2. Examine fundamental accounting and financial concepts, including recording transactions, creation of financial statements, and closing of books to support the operation of an organization.
3. Solve basic numeric problems and interpret data related to business scenarios.",",
2. Which legislation topics are included in the Business Essentials I course?"
14,43ce1f6b-3ffe-432a-9376-7d8e99b99466," Extracted Information:

Upon graduation from the Pre-Business program at George Brown College, students may be eligible for advanced standing in several Business Diploma and Advanced Diploma programs. Course credits are transferable to diploma programs at other post-secondary institutions. The program consists of two semesters, with required courses in Business Computer Applications I (COMP 1010), Business Essentials I (BUS 1047), Marketing Essentials I (MARK 1035), Business Math with Remediation (MATH 1027), Introduction to College Communication (COMM 1000), Communicating Across Contexts (COMM 2000), Personal and Professional Development (PREP 1012), Business Essentials II (BUS 1049), Marketing Essentials II (MARK 1036), Principles of Accounting (ACCT 1036), Speaking with Confidence (PREP 1025), Mathematics for Business and Management I (MATH 1008), and a General Education Elective. Students can apply for admission into Semester 2 of select George Brown College Centre for Business Diploma programs.

The School of Work and College Preparation provides access to a Pathway Advisor, who helps facilitate the transition into further post-secondary programs by providing information about upgrading options, pre-programs, and articulation agreements.

Program Learning Outcomes:
1. Examine the impact of economic variables, legislation, ethics, technology, and the environment on an organization's operations.
2. Examine fundamental accounting and financial concepts, including recording transactions, creation of financial statements, and closing of books to support the operation of an organization.
3. Solve basic numeric problems and interpret data related to business scenarios.",",
3. What ethics concepts are students expected to learn in this program?"
15,43ce1f6b-3ffe-432a-9376-7d8e99b99466," Extracted Information:

Upon graduation from the Pre-Business program at George Brown College, students may be eligible for advanced standing in several Business Diploma and Advanced Diploma programs. Course credits are transferable to diploma programs at other post-secondary institutions. The program consists of two semesters, with required courses in Business Computer Applications I (COMP 1010), Business Essentials I (BUS 1047), Marketing Essentials I (MARK 1035), Business Math with Remediation (MATH 1027), Introduction to College Communication (COMM 1000), Communicating Across Contexts (COMM 2000), Personal and Professional Development (PREP 1012), Business Essentials II (BUS 1049), Marketing Essentials II (MARK 1036), Principles of Accounting (ACCT 1036), Speaking with Confidence (PREP 1025), Mathematics for Business and Management I (MATH 1008), and a General Education Elective. Students can apply for admission into Semester 2 of select George Brown College Centre for Business Diploma programs.

The School of Work and College Preparation provides access to a Pathway Advisor, who helps facilitate the transition into further post-secondary programs by providing information about upgrading options, pre-programs, and articulation agreements.

Program Learning Outcomes:
1. Examine the impact of economic variables, legislation, ethics, technology, and the environment on an organization's operations.
2. Examine fundamental accounting and financial concepts, including recording transactions, creation of financial statements, and closing of books to support the operation of an organization.
3. Solve basic numeric problems and interpret data related to business scenarios.",",
4. In which semester is Business Computer Applications I offered?"
16,43ce1f6b-3ffe-432a-9376-7d8e99b99466," Extracted Information:

Upon graduation from the Pre-Business program at George Brown College, students may be eligible for advanced standing in several Business Diploma and Advanced Diploma programs. Course credits are transferable to diploma programs at other post-secondary institutions. The program consists of two semesters, with required courses in Business Computer Applications I (COMP 1010), Business Essentials I (BUS 1047), Marketing Essentials I (MARK 1035), Business Math with Remediation (MATH 1027), Introduction to College Communication (COMM 1000), Communicating Across Contexts (COMM 2000), Personal and Professional Development (PREP 1012), Business Essentials II (BUS 1049), Marketing Essentials II (MARK 1036), Principles of Accounting (ACCT 1036), Speaking with Confidence (PREP 1025), Mathematics for Business and Management I (MATH 1008), and a General Education Elective. Students can apply for admission into Semester 2 of select George Brown College Centre for Business Diploma programs.

The School of Work and College Preparation provides access to a Pathway Advisor, who helps facilitate the transition into further post-secondary programs by providing information about upgrading options, pre-programs, and articulation agreements.

Program Learning Outcomes:
1. Examine the impact of economic variables, legislation, ethics, technology, and the environment on an organization's operations.
2. Examine fundamental accounting and financial concepts, including recording transactions, creation of financial statements, and closing of books to support the operation of an organization.
3. Solve basic numeric problems and interpret data related to business scenarios.",",
5. Which business essentials are covered in Marketing Essentials I and II?"
17,43ce1f6b-3ffe-432a-9376-7d8e99b99466," Extracted Information:

Upon graduation from the Pre-Business program at George Brown College, students may be eligible for advanced standing in several Business Diploma and Advanced Diploma programs. Course credits are transferable to diploma programs at other post-secondary institutions. The program consists of two semesters, with required courses in Business Computer Applications I (COMP 1010), Business Essentials I (BUS 1047), Marketing Essentials I (MARK 1035), Business Math with Remediation (MATH 1027), Introduction to College Communication (COMM 1000), Communicating Across Contexts (COMM 2000), Personal and Professional Development (PREP 1012), Business Essentials II (BUS 1049), Marketing Essentials II (MARK 1036), Principles of Accounting (ACCT 1036), Speaking with Confidence (PREP 1025), Mathematics for Business and Management I (MATH 1008), and a General Education Elective. Students can apply for admission into Semester 2 of select George Brown College Centre for Business Diploma programs.

The School of Work and College Preparation provides access to a Pathway Advisor, who helps facilitate the transition into further post-secondary programs by providing information about upgrading options, pre-programs, and articulation agreements.

Program Learning Outcomes:
1. Examine the impact of economic variables, legislation, ethics, technology, and the environment on an organization's operations.
2. Examine fundamental accounting and financial concepts, including recording transactions, creation of financial statements, and closing of books to support the operation of an organization.
3. Solve basic numeric problems and interpret data related to business scenarios.",",
6. Which math course is required for Mathematics for Business and Management I?"
