,contextId,context,question
0,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",What is the name of this program at George Brown College?
1,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", What is the code for Industrial Power Sewing program?"
2,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", What kind of credential will I receive after completing this program?"
3,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", How long does it take to finish this part-time program?"
4,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", In which months can I start this program?"
5,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", Where is the Fashion Exchange located?"
6,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", How many hours of experiential learning are required for this program?"
7,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", When and where will the program be delivered in the fall of 2023?"
8,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", Is this program available for international students in the spring of 2024?"
9,55d76c11-f1ac-434f-8e9a-b771e48e18ba," Program Name: Industrial Power Sewing
Code: F115
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Semester 1: On Campus (Fall 2023), Semester 1: Other (Winter 2024)
Program Availability: Domestic - Spring 2024, International - Not Available
Tuition: Domestic Tuition - Tuition Funded for Eligible Participants
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Description: The Industrial Power Sewing program prepares students to work in an industrial sewing environment. Graduates will be able to use industrial sewing machines and complete standard operations for garment details in woven fabrics. They will also gain experience using specialty sewing machines and pressing equipment. Students will learn to deliver a high-quality finished product, followed by a work-integrated learning experience with an industry partner.
Career & Postgraduate Study Opportunities: Not specified in the text.",", What is the tuition for domestic students in this program?"
