,contextId,context,question
0,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",What is the name of this graduate certificate program?
1,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", What code is associated with Mobile Application Development and Strategy?"
2,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", How long does it take to complete this program?"
3,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", Is this a full-time or part-time program?"
4,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", In which months can I start this program?"
5,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", How much does it cost for domestic students to attend for one year?"
6,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", How much does it cost for international students to attend for one year?"
7,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", Where is the Casa Loma Campus located?"
8,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", What type of experiential learning is required for this program?"
9,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", Which operating systems will students learn to develop apps for?"
10,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", Which programming languages are taught in this program?"
11,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", What client-side development tools are used?"
12,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",", Is there an option for server-side programming?"
13,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",Is there a co-op work term or applied project available?
14,ffbcfd65-5336-4223-b2e7-54dbfab69121," Program Name: Mobile Application Development and Strategy
Code: T440
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $6,137.00 *
International Tuition: $18,603.00 **
Location: Casa Loma Campus
Experiential Learning: Mandatory Co-op or Work Integrated Project
Program Overview: Equips students with skills related to developing, testing, and deploying apps for iOS and Android devices.
Learning Platforms: iOS and Android
Programming Languages: Kotlin and Swift
Client-side development tools: HTML 5, CSS3, JavaScript
Server-side programming
Co-op work term or applied project available.

* Domestic tuition fee for the first year (as of current academic year)
** International tuition fee for the first year (as of current academic year)",?
15,ebd5b0a1-d8fe-4291-862d-a5f1cb32b50c," Program Information:
- Name: Mobile Application Development and Entrepreneurship
- Semesters: 3
- Required Courses in Semester 1:
  - MADS 4001: Introduction to Android Development
  - MADS 4006: Advanced Android Development
  - MADS 4007: Web Development Fundamentals
  - MADS 4012: Full Stack Development
  - MADS 4013: Introduction to Kotlin
- Required Courses in Semester 2:
  - MADS 4002: Swift Fundamentals
  - MADS 4003: Introduction to IOS Development
  - MADS 4005: Advanced IOS Development
  - MADS 4009: Mobile Application Strategy
  - MADS 4014: Cross Platform Mobile Development
  - COMP 4064: Career Planning and Portfolio Development
- Required Courses in Semester 3:
  - TCOP 4010: Co-op or
  - MADS 4010: Work-Integrated Project

Technology Requirements:
- Operating System: Mac is recommended
- RAM: minimum 16 GB, optimal 500+ GB
- Hard Drive: 256 GB SSD, minimum
- Processor: Quad-core i7 2.4GHz or better
- Video Card: 2GB RAM minimum, 4GB RAM recommended
- Webcam

Program Learning Outcomes:
- Create meaningful design artifacts using modern software engineering methodologies and project management principles.
- Implement native mobile applications for different mobile platforms.
- Develop solution architectures to support mobile applications by applying enterprise architecture principles and best practices.
- Develop creative concepts for mobile applications that meet innovation, entrepreneurship and social enterprise objectives.
- Develop secure mobile applications by implementing the security principles, standards and best practices.",What is the name of the Mobile Application Development and Entrepreneurship program?
