,contextId,context,question
0,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",What is the name of the equity partner that George Brown College acquired 25 Dockside Drive with?
1,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",", When did George Brown College acquire 25 Dockside Drive?"
2,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",", How many square feet is the building at 25 Dockside Drive?"
3,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",", What are some current occupants of the building at 25 Dockside Drive besides George Brown College?"
4,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",", What is Corus Entertainment's plan regarding their presence in the building after the acquisition?"
5,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",", In what year is the mass-timber net zero carbon emissions building, Limberlost Place, opening?"
6,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",", What is expected to be the population growth in the East Bayfront neighbourhood by 2040?"
7,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",How many new jobs are expected in the East Bayfront neighbourhood by 2040?
8,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",What is George Brown College's goal regarding its involvement in the growth of Toronto and Ontario?
9,2ac1768c-419f-4f76-b8ae-774208c9a47a," George Brown College acquired 25 Dockside Drive in spring 2024 through a joint acquisition with equity partner Halmont Properties. The transaction will provide modern learning spaces and expand academic offerings. The college has been present on Toronto's waterfront since the opening of the Daphne Cockwell Centre for Health Sciences in 2012, with additional buildings including the School of Design at Daniels Waterfront – City of the Arts and the mass-timber net zero carbon emissions building, Limberlost Place (opening in January 2025). The East Bayfront neighbourhood is expected to grow significantly by 2040 with an estimated 130,000 new residents and 50,000 new jobs. George Brown College aims to be a foundational part of this growth and contribute to Toronto and Ontario's economic and social prosperity. The college plans to gradually shift academic operations into the 480,000-square-foot building at 25 Dockside Drive, which currently houses Corus Entertainment, Irene Restaurant, and Ecobee. Corus Entertainment will continue to maintain their presence after the acquisition.",?
