,contextId,context,question
0,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",What is the name of this college certificate program?
1,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", What is the duration of the Career Development Practitioner program?"
2,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", In which starting months can I begin this program?"
3,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", How much does it cost for domestic students to attend this program?"
4,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", What is the tuition fee for international students?"
5,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", Where is the St. James Campus located?"
6,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", What type of experiential learning is offered in semester 3?"
7,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", How is this program delivered?"
8,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", Which related programs does this Career Development Practitioner offer?"
9,612f9f99-1f30-4c40-9ede-406b04fdc6f9," Program Name: Career Development Practitioner
Code: C406
Credential: Ontario College Graduate Certificate
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $5,121.00
International Tuition: $26,232.00
Location: St. James Campus
Experiential Learning: Practicum in semester 3
Program Delivery: Hybrid (Fall 2023) and On Campus (Winter 2024)
Related Programs: Human Resources Management (B408), Social Service Worker (C119), Community Worker (C101)
Program Description: Prepares students to provide advice and guidance related to career exploration, skill acquisition, job search and maintenance. Provides training to enter and/or advance in the field of career development.
Notes: The Career Development Practitioner program is the only one in the Greater Toronto Area (GTA) that provides the full academic component and partial fulfillment of work experience hours for certification by the Career Development Practitioners' Certification Board of Ontario (CDPCBO).",", What does the Career Development Practitioner program prepare students to do?"
