,contextId,context,question
0,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",What is the name of the program at George Brown College leading to Practical Nursing (S119)?
1,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Can you provide more details about the content of the online information session for the S119 program?"
2,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What are the further study options upon graduation from the S119 program?"
3,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can one sign up for application deadlines, college news, and related information at George Brown College?"
4,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the phone number to reach George Brown College?"
5,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number to reach George Brown College?"
6,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the email address to contact George Brown College?"
7,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Is the information on the website guaranteed not to change?"
8,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can students verify the fee requirements for George Brown College?"
9,8a05cd5c-4fd7-4f1f-a620-91fa9590797f," The Personal Support Worker Pathway to Practical Nursing (S119) program is offered at George Brown College. Interested individuals can learn more about the program by watching a previously recorded online information session. The session covers details about program content, further study options upon graduation, and college life.

Application deadlines, college news, upcoming events, tours, and other related information can be obtained by signing up. George Brown College can be reached via phone at 416-415-2000 or TTY at 1-877-515-5559, or by email at ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",?
