,contextId,context,question
0,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",What is the name of this one-year certificate program?
1,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", In which center does this Commercial Dance program belong?"
2,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", What kind of credential will I receive after completing this program?"
3,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", How long does it take to finish this program (full-time)?"
4,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", When can I start this program?"
5,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", How much is the domestic tuition for this Commercial Dance program?"
6,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", What's the tuition fee for international students?"
7,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", Which arts school offers this Commercial Dance program?"
8,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", Where is the Casa Loma Campus located?"
9,581414d7-0f74-4b72-8794-65766dc1cfb9," Program Name: Commercial Dance (P106)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,314.00*
International Tuition: $28,816.00**
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: Casa Loma Campus
Program Overview: One-year certificate program to become a triple-threat performer in commercial dance with training in jazz, hip hop, ballet, acting, vocals, and chorus repertoire. Emphasis on business side of commercial dance and career management skills.
Admission Requirements: Intermediate-level dance training in jazz required. Additional dance forms as asset.
Related Programs: Dance Performance (P105), Dance Performance Preparation (P101), Acting for Media (P107)",", What skills will I learn in this commercial dance program apart from jazz training?"
