,contextId,context,question
0,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",What is the name of the analytics program for business decision-making?
1,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", What is the code for this program?"
2,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", what type of credential will I receive upon completion?"
3,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", How long does this full-time program last?"
4,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", In which months can I start this program?"
5,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", What is the domestic tuition fee for this program?"
6,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", Which centre and school offers this program?"
7,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", Where is this program located?"
8,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", What is the focus of this online program?"
9,1027627b-a4d8-4dbe-bd48-8baa70dcaeed," Program Name: Analytics for Business Decision-Making
Code: B422
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 8 months (2 semesters)
Starting Months: January, September
Domestic Tuition: $4,317.00 *
Centre: Business
School: Management
Location: Online
Program Overview: An online program for individuals interested in becoming a big data expert, focusing on turning information into knowledge and using it to make business decisions.
High Demand Field: Graduates with skills in business analytics are in high demand by businesses across industries.
Courses: Introduces students to programming, applied statistical comprehension, and database understanding as they relate to organizational Big Data (operational) requirements through a mix of data analytics and business analytics courses.
Online Postgraduate Programs: Fully online program scheduled in the evening and on weekends, part of the college's online postgraduate programs offering.
Available Formats: Offered in both an online format (B422) and a blended hybrid format (B412).",", In what industries are graduates with business analytics skills in high demand?"
