,contextId,context,question
0,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",What is the name of this college program?
1,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", What code is assigned to Health Information Management program?"
2,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", What kind of credential will I receive after completing this program?"
3,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", How long does it take to complete this Health Information Management program?"
4,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", When can I start this program in September?"
5,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", How much does a domestic student pay for tuition?"
6,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", How much does an international student pay for tuition?"
7,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", Is this program available for study in a full-time format?"
8,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", Where is this Waterfront Campus located?"
9,18dcee78-69e3-4107-a221-1897d628b54e," Program Name: Health Information Management
Code: C139
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,772.00
International Tuition: $17,905.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field education in semesters 3 and 4
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available, Not Available
- Spring 2025: Not Available, Not Available
Accreditation: Canadian Health Information Management Association (CHIMA)",", What type of experiential learning is offered in semesters 3 and 4?"
