,contextId,context,question
0,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",What is the name of this Honours Bachelor's Degree program?
1,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", What is the code for this Behaviour Analysis degree?"
2,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", What type of credential will I receive after completing this program?"
3,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", How long does it take to finish this Full-time program?"
4,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", In which months can international students start this program in 2025?"
5,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", What is the domestic tuition fee for this Health Sciences program?"
6,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", Which George Brown College centre offers this program?"
7,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", Which school within the college provides training for this degree?"
8,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", Where is the Waterfront Campus located?"
9,233cbe2e-b6bd-47d9-83bf-180f1b7dfe90," Program Name: Honours Bachelor of Behaviour Analysis
Code: S303
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters + 14 week Field Experience term (Unpaid)
Starting Months: May
Domestic Tuition: $10,463.00 *
Centre: Health Sciences
School: Health & Wellness
Location: Waterfront Campus
Experiential Learning: Seven (7) week unpaid block begins in semester 6, and a fourteen (14) week unpaid block placement begins in the fall term of student's final year in the degree.
Program Availability: Open for domestic students in spring 2025
George Brown College has been offering training and education in Applied Behaviour Analysis (ABA) for over 15 years and was the first college in Toronto to offer the Behavioural Science Technology advanced diploma and spearheaded the development of the Provincial Autism and Behavioural Science programs.

* The tuition fee is for domestic students only. International tuition fees may vary.",", How long is the unpaid field experience term in semester 6?"
