,contextId,context,question
0,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",What is the name of this program?
1,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", What is the code for the Architectural Technician program?"
2,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", What kind of credential will I receive after completing this program?"
3,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", How long does it take to complete the Architectural Technician program?"
4,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", In what months can I start this program?"
5,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", How much does it cost for domestic students to attend this program?"
6,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", How much does it cost for international students to attend this program?"
7,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", Is this program offered on a full-time basis?"
8,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", Where is this program located?"
9,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", Is the Architectural Technician program available in Fall 2023 for international students?"
10,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", Is the Architectural Technician program available in Winter 2024 for domestic students?"
11,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",", What are some related programs offered at this college?"
12,6324ad16-7510-437b-971d-becd8d896f8d," Program Name: Architectural Technician
Code: T132
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,288.00
International Tuition: $17,828.00
Method of Study: Full-time
Location: Casa Loma Campus
Program Availability:
- Fall 2023: Closed (for international students)
- Winter 2024: Closed (for both domestic and international students)
Related Programs: Architectural Technology (T109), Interior Design (T178), Civil Engineering Technology (T164)",?
13,7775f525-7b99-468d-ac4b-80cb6c8ca5d2," The text mentions a program focused on codes and construction law, with an emphasis on teamwork in a project-based learning environment. Students enrolling in January are required to complete semester 2 in the summer (May to August) of the same year to continue into semester 3 in the fall.

Graduates find employment in various areas of the Architectural, Engineering and Construction (AEC) industry, including architectural and construction industries, technical sales representatives and manufacturing technicians for product manufacturers and building material suppliers, and government building departments. Career options for graduates include, but are not limited to, project coordinator, technical representative for building/equipment suppliers, production of computer-aided technical drawings and modelling, developer, property manager, technician with builders/developers, and customer service agent with builders/developers.

This program shares the first four semesters with the three-year Architectural Technology program (T109), allowing graduates to transfer with advanced standing into the third year of that program. The first two semesters are also shared with the three-year Interior Design Technology program (T170), allowing graduates to transfer with advanced standing into the second year of that program. Pathways to the Honours Bachelor of Technology (Construction Management) degree program are also available from the three-year Architectural Technology program.

The required courses for semester 1 include ARCH 1005: Architectural Technology & Studio 1, ARCH 1014: Canadian Industry Practices, ARCH 1048: Structural Systems 1, ARCH 1050: Visual Communications 1, ARCH 1060: Design Fundamentals, CADE 1012: CAD Drawing 1, COMM 2000: Communicating Across Contexts, and MATH 1139: Mathematics for Arch/IDT 1.",1. In which industry does this program focus on codes and construction law?
