,contextId,context,question
0,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",What is the name of this advanced program?
1,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",", What code is required for the Advanced French Patisserie program?"
2,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",", What kind of credential will I receive after completing this program?"
3,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",", How long does it take to finish this program in total?"
4,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",", When can international students start this program?"
5,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",", How much does domestic students pay for this program?"
6,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",", Where is the Hospitality & Culinary Arts Centre located?"
7,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",", Is this program available starting from fall 2023?"
8,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",", What are some related programs offered alongside Advanced French Patisserie?"
9,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",?
