,contextId,context,question
0,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",What is the name of this brand design honours bachelor's degree program?
1,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", What is the code for this program?"
2,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", What type of credential will I receive after completing this program?"
3,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", How long does this full-time program last?"
4,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", In how many semesters is this degree program divided?"
5,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", When can students start this program?"
6,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", What is the tuition fee for Canadian students in this program?"
7,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", What is the tuition fee for international students in this program?"
8,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", Where is this program located?"
9,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", What will I be able to do after completing this brand design program?"
10,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", What are some of the outcomes I can expect from this degree?"
11,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",", How will this program help me foster innovative collaboration within diverse teams?"
12,f663f4d6-ca6b-4b30-897a-f6ab386ba447," Program Name: Honours Bachelor of Brand Design
Code: G305
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters plus 1 Co-op Work Term
Starting Months: May
Domestic Tuition: $7,917.00 *
International Tuition: $21,335.00 **
Location: Waterfront Campus
Program Description: A four-year degree program that prepares students to be forward-looking brand designers.
Outcomes: Upon completing this program, you will be able to convey a brand's identity through visual and physical designs across various online and offline platforms, research and design adaptable brand experiences that engage customers across different touchpoints, and articulate a brand's story connecting with audiences through various mediums.
The program will teach students to craft clear brand messages and foster innovative collaboration within diverse teams.

* Domestic tuition is for Canadian students.
** International tuition is for students from outside Canada.",?
13,b5f5f913-117d-4d9a-a76d-43b3eff8683a," The Honours Bachelor of Brand Design program at George Brown College aims to foster innovative collaboration within diverse teams. The program teaches students to craft clear brand messages for various platforms, grasp new technology and navigate both traditional and modern channels, write effectively for different scenarios, audiences, and styles, adapt readily to changing work environments and sectors, collaborate effectively in bridging business and creative aspects of branding, employ varied research methods in the design process, and provide diverse and customizable services.

Students with a minimum GPA of 3.2 (75%) or higher from the second year of George Brown College's Graphic Design (G102) advanced diploma are eligible for advanced entry into the Honours Bachelor of Brand Design program through a summer bridge program. The program structure includes Option A, which requires two years completed in Graphic Design, the bridge program, and two years of Degree study; or Option B, which includes three years completed in Graphic Design, the bridge program, and two years of Degree study. Students must complete a 420-hour paid co-op work term during the spring/summer period between the third and fourth year. Notable training partners for co-ops include agencies such as Publicis, K9 Strategy + Design, Trevor/Peter, and Relish Interactive, and larger brands like Nelvana (Corus Entertainment).",1. What is the goal of the Honours Bachelor of Brand Design program at George Brown College?
14,b5f5f913-117d-4d9a-a76d-43b3eff8683a," The Honours Bachelor of Brand Design program at George Brown College aims to foster innovative collaboration within diverse teams. The program teaches students to craft clear brand messages for various platforms, grasp new technology and navigate both traditional and modern channels, write effectively for different scenarios, audiences, and styles, adapt readily to changing work environments and sectors, collaborate effectively in bridging business and creative aspects of branding, employ varied research methods in the design process, and provide diverse and customizable services.

Students with a minimum GPA of 3.2 (75%) or higher from the second year of George Brown College's Graphic Design (G102) advanced diploma are eligible for advanced entry into the Honours Bachelor of Brand Design program through a summer bridge program. The program structure includes Option A, which requires two years completed in Graphic Design, the bridge program, and two years of Degree study; or Option B, which includes three years completed in Graphic Design, the bridge program, and two years of Degree study. Students must complete a 420-hour paid co-op work term during the spring/summer period between the third and fourth year. Notable training partners for co-ops include agencies such as Publicis, K9 Strategy + Design, Trevor/Peter, and Relish Interactive, and larger brands like Nelvana (Corus Entertainment).",2. In what ways does the Brand Design program encourage collaboration?
