,contextId,context,question
0,26f3688a-fd28-4af0-ae7b-cad8aef8440d," Canada's film and television industry is thriving, with world-class companies employing thousands of people across the country. In 2021, HBO's The Last of Us series, which starred Pedro Pascal and Bella Ramsey, was filmed in Alberta, making it the largest production in Alberta's history and one of the biggest in Canada. The first season of this series was shot in various locations in Alberta including downtown Calgary, Edmonton's Legislature building, Fort Macleod, Canmore, and Mount Royal University. In Toronto, the screen production industry set a record with over $2.5 billion in direct spending in film, television, and digital media productions in 2021. Key productions included Star Trek Discovery, Reacher, and Paw Patrol (post-production). Toronto is home to one of the top five screen-based industries in North America and it is projected that more than 10,000 new jobs will be created in the screen industry over the next five years. Film production schools have grown in major hubs like Toronto and Vancouver, producing award-winning graduates. In 2020-2021, the movie and TV business employed 231,300 people and the total volume of film and television production reached $9.09 billion, generating a GDP of $11.27 billion for the Canadian economy. There are various educational opportunities available in Canada's film schools ranging from one-year diplomas and certificates to four-year bachelor's and master's degrees.",1. In which province was HBO's The Last of Us series filmed in largest extent?
1,26f3688a-fd28-4af0-ae7b-cad8aef8440d," Canada's film and television industry is thriving, with world-class companies employing thousands of people across the country. In 2021, HBO's The Last of Us series, which starred Pedro Pascal and Bella Ramsey, was filmed in Alberta, making it the largest production in Alberta's history and one of the biggest in Canada. The first season of this series was shot in various locations in Alberta including downtown Calgary, Edmonton's Legislature building, Fort Macleod, Canmore, and Mount Royal University. In Toronto, the screen production industry set a record with over $2.5 billion in direct spending in film, television, and digital media productions in 2021. Key productions included Star Trek Discovery, Reacher, and Paw Patrol (post-production). Toronto is home to one of the top five screen-based industries in North America and it is projected that more than 10,000 new jobs will be created in the screen industry over the next five years. Film production schools have grown in major hubs like Toronto and Vancouver, producing award-winning graduates. In 2020-2021, the movie and TV business employed 231,300 people and the total volume of film and television production reached $9.09 billion, generating a GDP of $11.27 billion for the Canadian economy. There are various educational opportunities available in Canada's film schools ranging from one-year diplomas and certificates to four-year bachelor's and master's degrees.",", 
2. Which buildings in Edmonton were used for filming The Last of Us series?"
2,26f3688a-fd28-4af0-ae7b-cad8aef8440d," Canada's film and television industry is thriving, with world-class companies employing thousands of people across the country. In 2021, HBO's The Last of Us series, which starred Pedro Pascal and Bella Ramsey, was filmed in Alberta, making it the largest production in Alberta's history and one of the biggest in Canada. The first season of this series was shot in various locations in Alberta including downtown Calgary, Edmonton's Legislature building, Fort Macleod, Canmore, and Mount Royal University. In Toronto, the screen production industry set a record with over $2.5 billion in direct spending in film, television, and digital media productions in 2021. Key productions included Star Trek Discovery, Reacher, and Paw Patrol (post-production). Toronto is home to one of the top five screen-based industries in North America and it is projected that more than 10,000 new jobs will be created in the screen industry over the next five years. Film production schools have grown in major hubs like Toronto and Vancouver, producing award-winning graduates. In 2020-2021, the movie and TV business employed 231,300 people and the total volume of film and television production reached $9.09 billion, generating a GDP of $11.27 billion for the Canadian economy. There are various educational opportunities available in Canada's film schools ranging from one-year diplomas and certificates to four-year bachelor's and master's degrees.",", 
3. What was the total spending on film, television, and digital media productions in Toronto in 2021?"
3,26f3688a-fd28-4af0-ae7b-cad8aef8440d," Canada's film and television industry is thriving, with world-class companies employing thousands of people across the country. In 2021, HBO's The Last of Us series, which starred Pedro Pascal and Bella Ramsey, was filmed in Alberta, making it the largest production in Alberta's history and one of the biggest in Canada. The first season of this series was shot in various locations in Alberta including downtown Calgary, Edmonton's Legislature building, Fort Macleod, Canmore, and Mount Royal University. In Toronto, the screen production industry set a record with over $2.5 billion in direct spending in film, television, and digital media productions in 2021. Key productions included Star Trek Discovery, Reacher, and Paw Patrol (post-production). Toronto is home to one of the top five screen-based industries in North America and it is projected that more than 10,000 new jobs will be created in the screen industry over the next five years. Film production schools have grown in major hubs like Toronto and Vancouver, producing award-winning graduates. In 2020-2021, the movie and TV business employed 231,300 people and the total volume of film and television production reached $9.09 billion, generating a GDP of $11.27 billion for the Canadian economy. There are various educational opportunities available in Canada's film schools ranging from one-year diplomas and certificates to four-year bachelor's and master's degrees.",",
4. Which three key productions took place in Toronto in 2021?"
4,26f3688a-fd28-4af0-ae7b-cad8aef8440d," Canada's film and television industry is thriving, with world-class companies employing thousands of people across the country. In 2021, HBO's The Last of Us series, which starred Pedro Pascal and Bella Ramsey, was filmed in Alberta, making it the largest production in Alberta's history and one of the biggest in Canada. The first season of this series was shot in various locations in Alberta including downtown Calgary, Edmonton's Legislature building, Fort Macleod, Canmore, and Mount Royal University. In Toronto, the screen production industry set a record with over $2.5 billion in direct spending in film, television, and digital media productions in 2021. Key productions included Star Trek Discovery, Reacher, and Paw Patrol (post-production). Toronto is home to one of the top five screen-based industries in North America and it is projected that more than 10,000 new jobs will be created in the screen industry over the next five years. Film production schools have grown in major hubs like Toronto and Vancouver, producing award-winning graduates. In 2020-2021, the movie and TV business employed 231,300 people and the total volume of film and television production reached $9.09 billion, generating a GDP of $11.27 billion for the Canadian economy. There are various educational opportunities available in Canada's film schools ranging from one-year diplomas and certificates to four-year bachelor's and master's degrees.",",
5. How many jobs is it projected that will be created in the screen industry over the next five years in Toronto?"
5,26f3688a-fd28-4af0-ae7b-cad8aef8440d," Canada's film and television industry is thriving, with world-class companies employing thousands of people across the country. In 2021, HBO's The Last of Us series, which starred Pedro Pascal and Bella Ramsey, was filmed in Alberta, making it the largest production in Alberta's history and one of the biggest in Canada. The first season of this series was shot in various locations in Alberta including downtown Calgary, Edmonton's Legislature building, Fort Macleod, Canmore, and Mount Royal University. In Toronto, the screen production industry set a record with over $2.5 billion in direct spending in film, television, and digital media productions in 2021. Key productions included Star Trek Discovery, Reacher, and Paw Patrol (post-production). Toronto is home to one of the top five screen-based industries in North America and it is projected that more than 10,000 new jobs will be created in the screen industry over the next five years. Film production schools have grown in major hubs like Toronto and Vancouver, producing award-winning graduates. In 2020-2021, the movie and TV business employed 231,300 people and the total volume of film and television production reached $9.09 billion, generating a GDP of $11.27 billion for the Canadian economy. There are various educational opportunities available in Canada's film schools ranging from one-year diplomas and certificates to four-year bachelor's and master's degrees.",",
6. Where are film production schools located in Canada?"
6,26f3688a-fd28-4af0-ae7b-cad8aef8440d," Canada's film and television industry is thriving, with world-class companies employing thousands of people across the country. In 2021, HBO's The Last of Us series, which starred Pedro Pascal and Bella Ramsey, was filmed in Alberta, making it the largest production in Alberta's history and one of the biggest in Canada. The first season of this series was shot in various locations in Alberta including downtown Calgary, Edmonton's Legislature building, Fort Macleod, Canmore, and Mount Royal University. In Toronto, the screen production industry set a record with over $2.5 billion in direct spending in film, television, and digital media productions in 2021. Key productions included Star Trek Discovery, Reacher, and Paw Patrol (post-production). Toronto is home to one of the top five screen-based industries in North America and it is projected that more than 10,000 new jobs will be created in the screen industry over the next five years. Film production schools have grown in major hubs like Toronto and Vancouver, producing award-winning graduates. In 2020-2021, the movie and TV business employed 231,300 people and the total volume of film and television production reached $9.09 billion, generating a GDP of $11.27 billion for the Canadian economy. There are various educational opportunities available in Canada's film schools ranging from one-year diplomas and certificates to four-year bachelor's and master's degrees.",",
7. What types of degrees and diplomas does Canada's film schools offer?"
7,26f3688a-fd28-4af0-ae7b-cad8aef8440d," Canada's film and television industry is thriving, with world-class companies employing thousands of people across the country. In 2021, HBO's The Last of Us series, which starred Pedro Pascal and Bella Ramsey, was filmed in Alberta, making it the largest production in Alberta's history and one of the biggest in Canada. The first season of this series was shot in various locations in Alberta including downtown Calgary, Edmonton's Legislature building, Fort Macleod, Canmore, and Mount Royal University. In Toronto, the screen production industry set a record with over $2.5 billion in direct spending in film, television, and digital media productions in 2021. Key productions included Star Trek Discovery, Reacher, and Paw Patrol (post-production). Toronto is home to one of the top five screen-based industries in North America and it is projected that more than 10,000 new jobs will be created in the screen industry over the next five years. Film production schools have grown in major hubs like Toronto and Vancouver, producing award-winning graduates. In 2020-2021, the movie and TV business employed 231,300 people and the total volume of film and television production reached $9.09 billion, generating a GDP of $11.27 billion for the Canadian economy. There are various educational opportunities available in Canada's film schools ranging from one-year diplomas and certificates to four-year bachelor's and master's degrees.",?
8,b2a9f7ca-e592-4160-89de-14ff51f7a9db," The University of British Columbia offers a four-year Bachelor of Fine Arts degree program in film production. This program is consistently ranked among the top universities in the world and has a renowned film training program that has been producing innovative artists and theatre practices for over 50 years. It aims to create independent filmmakers with the skills and imagination to contribute to and shape the industry. The program includes courses such as Introduction to Motion Picture Directing, Film and Media Production, and Motion Picture Production at various locations around the UBC campus, including the NBC Studio which features a green screen and lighting grid. The graduates of this program have had their work screened at international film festivals like Cannes, SXSW, Sundance, Toronto Film Festival, and Hot Docs. The Vancouver campus of UBC is known for its mecca status for film production and has numerous film locations and job opportunities both within Canada and from productions around the world that shoot there.",1. Where is the University of British Columbia located that is famous for film production?
9,b2a9f7ca-e592-4160-89de-14ff51f7a9db," The University of British Columbia offers a four-year Bachelor of Fine Arts degree program in film production. This program is consistently ranked among the top universities in the world and has a renowned film training program that has been producing innovative artists and theatre practices for over 50 years. It aims to create independent filmmakers with the skills and imagination to contribute to and shape the industry. The program includes courses such as Introduction to Motion Picture Directing, Film and Media Production, and Motion Picture Production at various locations around the UBC campus, including the NBC Studio which features a green screen and lighting grid. The graduates of this program have had their work screened at international film festivals like Cannes, SXSW, Sundance, Toronto Film Festival, and Hot Docs. The Vancouver campus of UBC is known for its mecca status for film production and has numerous film locations and job opportunities both within Canada and from productions around the world that shoot there.",",
2. What kind of degree program does the University of British Columbia offer in film production?"
10,b2a9f7ca-e592-4160-89de-14ff51f7a9db," The University of British Columbia offers a four-year Bachelor of Fine Arts degree program in film production. This program is consistently ranked among the top universities in the world and has a renowned film training program that has been producing innovative artists and theatre practices for over 50 years. It aims to create independent filmmakers with the skills and imagination to contribute to and shape the industry. The program includes courses such as Introduction to Motion Picture Directing, Film and Media Production, and Motion Picture Production at various locations around the UBC campus, including the NBC Studio which features a green screen and lighting grid. The graduates of this program have had their work screened at international film festivals like Cannes, SXSW, Sundance, Toronto Film Festival, and Hot Docs. The Vancouver campus of UBC is known for its mecca status for film production and has numerous film locations and job opportunities both within Canada and from productions around the world that shoot there.",",
3. How long does the Bachelor of Fine Arts degree program in film production at UBC last?"
