,contextId,context,question
0,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",What is the name of this business administration program?
1,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",", What code is associated with this program?"
2,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",", what type of credential will be earned upon completion?"
3,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",", How long does this full-time program last?"
4,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",", In which months can students start this program?"
5,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",", How much does it cost domestically for one academic year?"
6,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",", How much does it cost internationally for one academic year?"
7,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",", Where is the St. James Campus located?"
8,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",", Is experiential learning required in this program and what form does it take?"
9,70b6890f-9bd8-40cb-a590-4c2c8e7f4ce1," Program Name: Business Administration
Code: B155
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $3,798.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Program Overview: The Business Administration (with work experience) advanced diploma program provides students with a wide range of options for their career in the business world. The combination of in-class learning and on-the-job experience will give students the knowledge to work in different team settings and even lead projects.
Skills gained after completion:
- Conduct and present research to help make important business decisions
- Utilize the latest trends and technologies in business to support a company’s goals
- Develop a business plan that outlines the objectives and strategies of a business.

* Domestic tuition fee for one academic year
** International tuition fee for one academic year.",What skills will students acquire after finishing this program?
