,contextId,context,question
0,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",What programs does the Angelo DelZotto School of Construction Management at George Brown College offer (including Ontario’s only four-year degree program in construction management)?
1,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", How can I consult with industry partners?"
2,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", Where is the location of the college (Casa Loma campus)?"
3,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", Who makes up the faculty team?"
4,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", Is there a fast track into the Construction degree program for those with a diploma?"
5,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", What is the service called that helps match skills, background, and career goals with program options?"
6,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", When are information sessions held?"
7,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", Are tours available to see classrooms, labs, and facilities?"
8,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", How can I contact the college (phone numbers and email address)?"
9,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", Is there a social media hub for the college?"
10,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", Can the information be subject to change without notice?"
11,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",", What are the fee requirements for the programs (students responsible for verifying)?"
12,bf093988-f680-4200-8b9a-a153c0a36afd," The Angelo DelZotto School of Construction Management at George Brown College offers eight programs, including Ontario’s only four-year degree program in construction management. There is a free Entry Advising service to help match skills, background, and career goals with program options. The college has information sessions for learning about programs and having questions answered by faculty and staff. Tours are available to show around classrooms, labs, and facilities.

Programs: eight (including Ontario’s only four-year degree program in construction management)
Consultation with industry partners: yes
Location: Casa Loma campus
Faculty: experienced
Fast track into Construction degree program: available for those with a diploma
Free Entry Advising service: yes
Information sessions: yes
Tours: yes
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: available
Subject to change without notice: yes
Program fee requirements: students are responsible for verifying",?
