,contextId,context,question
0,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",* Who are the industry representatives included in George Brown College's Program Advisory Committees?
1,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",",
* How do members of PACs expand their professional networks?"
2,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",",
* What is the role of PACs in ensuring that graduates are ready to work in their industries?"
3,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",".,
* Who can I contact for participating in program development at George Brown College?"
4,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.","(contact details for Dario Guescini),
* Are there application deadlines for certain programs at George Brown College?"
5,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",",
* Where can I find college news, upcoming events, tours, and more on the website?"
6,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",",
* What is the email address for general inquiries about George Brown College?"
7,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",".,
* Who should I contact if I need assistance with TTY services?"
8,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",".,
* What is the phone number for George Brown College's main office?"
9,18668e47-94fd-4915-beb4-e28cbe3b6d97," The text mentions that George Brown College has Program Advisory Committees (PACs) which consist of industry representatives from various sectors including private and public sectors, companies, trade and professional associations, accreditation bodies, government, and the college. The committees provide advice on ensuring that graduates are ready to work in their industries and meet current needs and demands. PAC membership allows members to expand their professional networks.

Contact information for Dario Guescini, Director of Work Integrated Learning & Experiential Education, is provided for those interested in participating in program development. His contact details are: 416.415.5000 ext 3406 and dario.guescini@georgebrown.ca. The text also mentions that there are application deadlines, college news, upcoming events, tours, and more which can be signed up for on the website. The contact email for general inquiries is ask.george@georgebrown.ca.

Additionally, the text includes a land acknowledgment statement and contact information for George Brown College's main phone number 416-415-2000 and TTY number 1-877-515-5559. The text ends with a disclaimer stating that the information on the website is subject to change without notice.

No specific program or year information was mentioned in the text.",",
* Is there a land acknowledgment statement included in the text?"
