,contextId,context,question
0,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",1. What is the name of the Pre-Health Sciences Pathway program?
1,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",2. What type of credential will students receive upon completion?
2,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",3. How is the study method for this program offered?
3,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",4. How long does it take to complete this program?
4,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",5. In what starting months is this program available?
5,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",6. What is the domestic tuition fee for this program?
6,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",7. What is the international tuition fee for this program?
7,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",8. Where is this program located?
8,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.","9. When are the fall, winter and spring intakes open for applications (domestic students)?"
9,44f3b5c4-e1ae-4e75-bd30-d23c0cee05de," Program Name: Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, May, September
Domestic Tuition: $3,926.00
International Tuition: $17,974.00
Location: St. James Campus
Program Availability:
- Fall 2024: Open for both domestic and international students
- Winter 2025: Open for both domestic and international students (opens Apr 8, 2024)
- Spring 2025: Open for both domestic and international students (opens Aug 6, 2024)
Program Description: A one-year certificate program that prepares students to apply to St. George's University in Grenada, West Indies for Doctor of Medicine (MD) programs. Students will fulfill science requirements through (A108) courses.
Note: For applicants aiming to meet admission prerequisites for one-year certificate or two-year diploma health sciences programs, apply to the Pre-Health Sciences Pathway to Certificates and Diplomas (A109) program instead.",10. When does the application process open for international students in winter 2025?
