,contextId,context,question
0,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.","What is the name of the program offered at George Brown College (S417), what field does it specialize in?"
1,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Who is the Program Coordinator for this course?"
2,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where is the Interprofessional Complex and Long-Term Care program delivered?"
3,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can I get in touch with Sally Horsfall regarding this program?"
4,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the application deadlines for this program and where can I find college news and upcoming events information?"
5,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Are there any additional contacts provided for this program besides nursing@gerown.ca, what is the contact number for George Brown College's main line?"
6,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for those who require it to contact George Brown College?"
7,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is there a Social Media Hub available for students in this program?"
8,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",What fees are required for this program and how can I verify them?
9,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is the information contained on the website subject to change without notice?"
10,73ff700c-dc62-45aa-b0d4-7142e9b429df," Program: Interprofessional Complex and Long-Term Care (S417)
Delivered by: Program Co-ordinator, Dr. Alison Ross
Location: ONLINE
Contact: Sally Horsfall (nursing@georgebrown.ca)
Application deadlines, college news, upcoming events, tours information: Sign Up Now
Additional contacts: 416-415-2000 and TTY: 1-877-515-5559 (ask.george@georgebrown.ca)
Social Media Hub available
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",?
