,contextId,context,question
0,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",What is the name of the program offered at the college?
1,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", Is the Mechanical Technician – CNC and Precision Machining a full-time program?"
2,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", How long does this Ontario College Diploma program last?"
3,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", In which months can students start this program?"
4,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", What is the domestic tuition fee for this program?"
5,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", What is the international tuition fee for this program?"
6,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", Where is this program located?"
7,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", How many semesters and one co-op term are included in this program?"
8,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", What kind of equipment will students have access to in this program?"
9,65ed39a6-341a-4d04-a9bd-b8a3e700e728," Program Name: Mechanical Technician – CNC and Precision Machining
Code: T173
Credential: Ontario College Diploma
Duration: 2 years (4 semesters and 1 co-op term)
Starting Months: January, September
Domestic Tuition: $5,921.00 *
International Tuition: $26,927.00 **
Location: Casa Loma Campus
Experiential Learning: 15-week mandatory co-op in Year 2
Program Overview: Eligible for a $40,000 scholarship.

* For domestic students only.
** International tuition fee.

The Mechanical Technician – CNC and Precision Machining program at the college is a full-time, two-year Ontario College Diploma program that focuses on precision machining and cutting-edge Computer-controlled machine (CNC) technology. The program consists of 4 semesters and one co-op term. Students will have access to state-of-the-art labs, including Precision Machining, CAD/CAM, CNC, Research, and Robotics. They will learn to design and manufacture tools, jigs, fixtures, precision fabrication, assemblies, and prototypes using computer-aided design and manufacturing software, precision machining equipment, and sophisticated CNC machine tool technology. In their final year, students will gain real-world experience through a 15-week co-op placement with industry partners.

Domestic students are eligible to apply for this program, and the tuition fee for domestic students is $5,921 per year. International students can also apply, and they will pay an annual tuition fee of $26,927. The program is available at the Casa Loma Campus. Students will participate in a 15-week mandatory co-op placement during their second year of studies. This program is eligible for a $40,000 scholarship for domestic students (details may be found on the college's website).",", What skills will students learn in this program?"
