,contextId,context,question
0,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",What is the name of the advanced manufacturing program?
1,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", What is the code for the advanced manufacturing program?"
2,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", What type of credential will I receive after completing this program?"
3,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", How long does it take to complete the advanced manufacturing program?"
4,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", In which months can I start the advanced manufacturing program?"
5,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", What is the domestic tuition fee for the advanced manufacturing program?"
6,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", What is the international tuition fee for the advanced manufacturing program?"
7,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", How is the study method for the advanced manufacturing program?"
8,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", In which center is the advanced manufacturing program located?"
9,781539b8-3867-4657-873e-6eafd70f70a0," Program Name: Advanced Manufacturing
Code: T414
Credential: Ontario College Graduate Certificate
Duration: 1 year - 2 semesters
Starting Months: January, September
Domestic Tuition: $6,752.00
International Tuition: $18,178.00
Method of Study: Full-time
Center: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Type: Advanced Manufacturing
Delivery Modes: Hybrid (Fall 2023), On Campus (Winter 2024)
Semesters:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
Experiential Learning: Yes
Program Description: Hands-on instruction in safe working, machining skills, machine programming, part inspection, and precision measurement. Experiential learning is essential to this program as students practice advanced precision machining skills.
Admission Requirements: Not specified in the text.

Please note that some information might be missing from the text, such as Program Outcomes and Contact Us details.",", Which school offers the advanced manufacturing program?"
