,contextId,context,question
0,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",1. What is the effective date of changes to LLC Laptop Loan Policy?
1,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
2. How can I access AskON live chat hours?"
2,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
3. What is the text number for AskON?"
3,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
4. Where can I find Library Search Tips and research tutorial videos?"
4,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
5. What information is available on the website regarding land acknowledgation?"
5,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
6. How can I sign up for college news, application deadlines, events, tours?"
6,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
7. What are the contact numbers for LLC staff via email?"
7,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
8. What is the TTY number for George Brown College?"
8,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
9. Where can I find the social media hub on the website?"
9,29329b01-adcc-469b-baeb-e2ca7a12d7c7," Changes to LLC Laptop Loan Policy effective December 18, 2023.
AskON live chat hours available. AskON text number: 647-931-1830. Library Search Tips guide and research tutorial videos are available on the website. Information about land acknowledgation can be learned there as well. Sign up for college news, application deadlines, events, tours, etc. Contact LLC staff via email at ask.george@georgebrown.ca.
Contact numbers: 416-415-2000 and TTY: 1-877-515-5559. Social media hub is accessible through the website. Information on the website is subject to change without notice and should not be considered as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
10. How often is information on the website subject to change?"
