,contextId,context,question
0,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",What is the name of this graduate certificate program?
1,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", What is the code for Concept Art for Entertainment program?"
2,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", What kind of credential will I receive after completing this program?"
3,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", How long does it take to complete this program?"
4,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", When can domestic students start this program?"
5,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", What is the tuition fee for domestic students?"
6,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", What is the tuition fee for international students?"
7,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", Where is this program located?"
8,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", What industries will this program prepare me for as a concept artist or fine artist?"
9,30b1033d-9d88-4370-afe5-1d32703875b9," Program Name: Concept Art for Entertainment
Code: G407
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $11,655.00 *
International Tuition: $29,459.00 **
Location: Waterfront Campus
Program Description: The program will train artists to meet industry demand for concept artists and fine artists with a focus on entertainment fields. Designed for graduates of Game - Art, Interaction Design, and Graphic Design, the intensive curriculum emphasizes the development of artistic and direction techniques relevant to the industry, namely concept art production and visual conceptualization. Students will become proficient with production processes, defining art styles, and drawing techniques by interpreting stories, character profiles, and design documentation. They will assemble a personal portfolio while designing and directing the art production for games and film.

* Domestic tuition fee for the academic year 2023-2024.
** International tuition fee for the academic year 2023-2024.

Centre: Arts, Design & Information Technology
School: Design
Program Availability (Domestic): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available
Program Availability (International): Fall 2023 - Closed, Winter 2024 - Not Available, Spring 2024 - Not Available.",", Who is this program designed for?"
