,contextId,context,question
0,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",What is the name of this marketing program?
1,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",", What is the code for Marketing Management – Digital Media program?"
2,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",", what kind of credential will I receive from this program?"
3,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",", How long does it take to complete this program?"
4,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",", In which months can I start this program?"
5,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",", How much is the tuition fee for domestic students?"
6,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",", Which center and school offers this Marketing Management – Digital Media program?"
7,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",", What are the areas of marketing covered in this program?"
8,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",", Does this program require experiential learning, and what type is it?"
9,36c55cd9-8634-4655-b525-952b943d9e68," Program Name: Marketing Management – Digital Media
Code: B423
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, September
Domestic Tuition: $4,618.00 *
Centre: Business
School: Marketing
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Marketing Management – Digital Media (Online) graduate certificate program covers social media marketing, mobile marketing, search marketing, content marketing, owned media marketing, paid media marketing, and marketing analytics. Students will enjoy working on a capstone project during their final semester.

* This tuition fee is for domestic students only. International student fees may vary.",?
10,93a918c9-3ecf-49e2-ac6f-089d51461770," This Marketing Management – Digital Media (Online) program offered by George Brown's School of Marketing is designed to prepare graduates for careers in marketing communications and planning, client services, and media planning and buying. The skills acquired include recommending digital communication strategies, conducting market research, evaluating product viability, delivering persuasive messages, and preparing sales pitches or presentations. The program is offered online and requires a computer with Windows 10 or Mac OSX, high-speed broadband access, headphones/speaker with microphone, and webcam for in-class conversations. Students need to complete a one-semester work experience term after the second academic semester, which can be co-op (paid) or internship (unpaid). George Brown facilitates identifying potential work experience opportunities, and students are encouraged to pursue self-directed industry work experiences as well. Technical requirements also include a web browser such as Safari, Firefox, MS Edge, Google Chrome. Mobile devices may allow for some participation in the course but cannot guarantee meeting all needs.",1. What operating systems are required for the Marketing Management – Digital Media (Online) program?
11,93a918c9-3ecf-49e2-ac6f-089d51461770," This Marketing Management – Digital Media (Online) program offered by George Brown's School of Marketing is designed to prepare graduates for careers in marketing communications and planning, client services, and media planning and buying. The skills acquired include recommending digital communication strategies, conducting market research, evaluating product viability, delivering persuasive messages, and preparing sales pitches or presentations. The program is offered online and requires a computer with Windows 10 or Mac OSX, high-speed broadband access, headphones/speaker with microphone, and webcam for in-class conversations. Students need to complete a one-semester work experience term after the second academic semester, which can be co-op (paid) or internship (unpaid). George Brown facilitates identifying potential work experience opportunities, and students are encouraged to pursue self-directed industry work experiences as well. Technical requirements also include a web browser such as Safari, Firefox, MS Edge, Google Chrome. Mobile devices may allow for some participation in the course but cannot guarantee meeting all needs.",",
2. In which George Brown school is the Marketing Management – Digital Media (Online) program offered?"
12,93a918c9-3ecf-49e2-ac6f-089d51461770," This Marketing Management – Digital Media (Online) program offered by George Brown's School of Marketing is designed to prepare graduates for careers in marketing communications and planning, client services, and media planning and buying. The skills acquired include recommending digital communication strategies, conducting market research, evaluating product viability, delivering persuasive messages, and preparing sales pitches or presentations. The program is offered online and requires a computer with Windows 10 or Mac OSX, high-speed broadband access, headphones/speaker with microphone, and webcam for in-class conversations. Students need to complete a one-semester work experience term after the second academic semester, which can be co-op (paid) or internship (unpaid). George Brown facilitates identifying potential work experience opportunities, and students are encouraged to pursue self-directed industry work experiences as well. Technical requirements also include a web browser such as Safari, Firefox, MS Edge, Google Chrome. Mobile devices may allow for some participation in the course but cannot guarantee meeting all needs.",",
3. Which careers can be pursued after completing the Marketing Management – Digital Media (Online) program?"
