,contextId,context,question
0,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",1. Who is hosting the 10th annual Food Court Social?
1,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 2. When and where will the Food Court Social take place?"
2,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 3. How much money was raised during last year's Food Court Social?"
3,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 4. What does attendance include at the Food Court Social?"
4,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 5. How can one become a sponsor for the Food Court Social?"
5,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 6. Where can one donate to the Silent Auction for the Food Court Social?"
6,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 7. Who is the contact person for inquiries about the Food Court Social?"
7,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 8. What is the phone number of George Brown College?"
8,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 9. What is the TTY number for George Brown College?"
9,24dd267e-d518-4b62-a504-0ca63af8488f," The George Brown College Foundation will be hosting the 10th annual Food Court Social on October 5, 2023, at the Waterfront Campus. Last year, the event raised over $500,000 for the George Brown College Augmented Education Program. This year's event includes food, drinks, and entertainment. Attendance is reserved exclusively for sponsors. For more information on becoming a sponsor or donating to the Silent Auction, visit the links ""Become a Sponsor"" and ""Donate to Food Court Social"". The contact person for inquiries is Samantha Walker, Events, Communications, & Administration Officer, who can be reached at 416-415-5000 ext. 3005 or Samantha.Walker@georgebrown.ca. The college's phone number is 416-415-2000 and TTY: 1-877-515-5559. For application deadlines, college news, upcoming events, tours and more, sign up on the website. The information in the text may be subject to change without notice.",", 10. Where can one sign up for application deadlines, college news, upcoming events, tours and more?"
