,contextId,context,question
0,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",1. When does the Office of Academic Excellence typically issue calls for new program ideations?
1,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",2. What is the role of Institutional Research and Planning in the new program ideation process?
2,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",3. How many NPAC meetings take place during the new program development process?
3,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",4. What decisions are made during NPAC meeting #1?
4,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",5. Which programs need to develop a curriculum at NPAC meeting #2?
5,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",6. Who should be designated as the subject matter development team for a new program?
6,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",7. Where can one obtain the NPAP proposal document?
7,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",8. What approvals are required before a new program can proceed further in its development?
8,45d47ab1-e1fa-48d8-8b8f-dac655c91f9c," The Office of Academic Excellence issues a call for new program ideations every 18 months to two years. Program coordinators should email academicexcellence@georgebrown.ca to find out when the next call for proposals is scheduled. All submissions are first sent to Institutional Research and Planning for a preliminary environmental scan.

New Program Advisory Committee (NPAC) meetings take place after the preliminary environmental scan, with two distinct meetings:

1. NPAC meeting #1: The committee looks at all program ideations and decides which should move forward, which will be put on hold, and which need further research.
2. NPAC meeting #2: If a proposal receives approval to proceed to program design, the necessary support from the Office of Academic Excellence is scheduled, and programs should consider developing their curriculum. Program areas designate a subject matter development team and plan development costing and time resources. Once decided, the names of the development team should be forwarded to the Office of Academic Excellence.

The formal launch of the new program development is then scheduled by the Office of Academic Excellence and introduces the program development team to the development process and available resources. After completing necessary curriculum components, the program chair with input from the development team completes sections 11-18 of the NPAP proposal, and programs move to the next stage of approvals once complete.

NPAC meeting #3 takes place after the completion of sections 1-18 in the NPAP proposal to ensure that all programs have enacted their proposed plans during the development process. Once approved by Academic and Student Affairs and the Board of Governors, the program can proceed further in its development.

Additional facts:

1. Calls for new program ideations happen every 18 months to two years.
2. NPAC meetings take place after the preliminary environmental scan.
3. Program ideations are sent to Institutional Research and Planning first.
4. NPAP proposal document must be completed before moving forward in the approval process.
5. Contact the Office of Academic Excellence for the NPAP proposal document.
6. NPAC meetings decide which programs move forward, need further research, or are put on hold.
7. Program design and development team planning is crucial at NPAC meeting #2.
8. The formal launch of new program development is scheduled by the Office of Academic Excellence after approval from the internal committees.",?
9,4f8c1bbc-0e42-4900-a010-f8d59efa7e0d," The text provides information about the approval process for programs in George Brown College and some related Ontario agencies. Here's the extracted information:

1. Program approval requires approval from Academic and Student Affairs and the Board of Governors before being submitted to the Ministry of Colleges and Universities for approval.
2. The Postsecondary Education Quality Assessment Board (PEQAB) is an Ontario agency that makes recommendations to the Minister of Colleges and Universities on applications for ministerial consent under the terms of the Post-secondary Education Choice and Excellence Act, 2000. Their website is available at PEQAB Website.
3. The Credential Validation Service (CVS) provides validation of programs to colleges in Ontario, supporting their ability to respond quickly to community and employer requirements. Their website is located at the Credential Validation Service website.
4. The Ontario Qualifications Framework includes all non-religious post-secondary certificate, diploma, and degree programs offered under the auspices of the Province of Ontario. This includes apprenticeship certificates, private career college qualifications, public colleges' qualifications, and degrees from universities authorized to award degrees by a consent of the Minister of Training, Colleges and Universities of Ontario. You can contact them at Contact Ontario Qualifications Framework.
5. George Brown College can be contacted via phone at 416-415-2000 or TTY: 1-877-515-5559, email at ask.george@georgebrown.ca, or through their social media hub.
6. The information contained in the George Brown College website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying the college's fee requirements.",What agency makes recommendations to the Minister of Colleges and Universities on applications for ministerial consent?
