,contextId,context,question
0,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",What is the name of this baking and pastry program?
1,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", What is the code for the Baking and Pastry Foundations program?"
2,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", What kind of credential will students receive after completing this program?"
3,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", How long does it take to complete this full-time program?"
4,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", When can students start this program?"
5,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", What is the domestic tuition fee for this program in the upcoming academic year?"
6,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", What is the international tuition fee for this program in the upcoming academic year?"
7,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", In which centre is the Hospitality & Culinary Arts school located?"
8,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", What will students learn in this Baking and Pastry Foundations program?"
9,57ef8726-cce7-4678-ae6e-8cdc882beb5f," Program Name: Baking and Pastry Foundations
Code: H128
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January
Domestic Tuition: $5,559.00 *
International Tuition: $18,968.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Description: Students will learn the basics of pastry, cakes and decorating through hands-on training and classroom learning. Specialized knowledge in areas such as artisanal bread, chocolate techniques and fermentation, menu management and nutrition will also be gained.
Schedule: The schedule operates from Monday to Friday, with some classes starting as early as 7am and ending as late as 11pm.
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Advanced French Patisserie (Postgraduate) (H413)

* Domestic tuition fee for the 2022-2023 academic year
** International tuition fee for the 2022-2023 academic year.",", When does the schedule for this program operate from Monday to Friday?"
