,contextId,context,question
0,209ebb25-b665-4a50-b59f-6a6f1761ef01," The text provides information about various online sessions offered by George Brown College to help prospective students gain more insight into the college and its offerings. Here are the key facts extracted from the text:

1. Online campus tours with Q&A sessions happen daily, and pre-recorded tours are available at any time. The Campus Tour page has more details on the tour options.
2. Online information sessions for specific programs are also available, but not all programs have online sessions scheduled yet. Interested individuals can check the schedule and register for an info session presented by international recruitment representatives. Past sessions are also accessible for reference.
3. Three webinars are mentioned: one on the Ontario Colleges application process, another covering costs and financial aid options (OSAP application process included), and a third providing an overview of George Brown College programs and student support services. All webinars require registration.
4. The text mentions various program types offered at the college, including certificates, diplomas, advanced diplomas, and degrees. A 45-minute webinar is available to provide an overview of these programs and the pathways for students to 'stack credentials' and achieve academic and career goals.
5. Returning adults are also addressed in the text, but no specific information about programs or sessions for them is mentioned.",1. What programs offer online info sessions at George Brown College?
1,209ebb25-b665-4a50-b59f-6a6f1761ef01," The text provides information about various online sessions offered by George Brown College to help prospective students gain more insight into the college and its offerings. Here are the key facts extracted from the text:

1. Online campus tours with Q&A sessions happen daily, and pre-recorded tours are available at any time. The Campus Tour page has more details on the tour options.
2. Online information sessions for specific programs are also available, but not all programs have online sessions scheduled yet. Interested individuals can check the schedule and register for an info session presented by international recruitment representatives. Past sessions are also accessible for reference.
3. Three webinars are mentioned: one on the Ontario Colleges application process, another covering costs and financial aid options (OSAP application process included), and a third providing an overview of George Brown College programs and student support services. All webinars require registration.
4. The text mentions various program types offered at the college, including certificates, diplomas, advanced diplomas, and degrees. A 45-minute webinar is available to provide an overview of these programs and the pathways for students to 'stack credentials' and achieve academic and career goals.
5. Returning adults are also addressed in the text, but no specific information about programs or sessions for them is mentioned.",", 
2. When do the daily online campus tours with Q&A sessions take place?"
2,209ebb25-b665-4a50-b59f-6a6f1761ef01," The text provides information about various online sessions offered by George Brown College to help prospective students gain more insight into the college and its offerings. Here are the key facts extracted from the text:

1. Online campus tours with Q&A sessions happen daily, and pre-recorded tours are available at any time. The Campus Tour page has more details on the tour options.
2. Online information sessions for specific programs are also available, but not all programs have online sessions scheduled yet. Interested individuals can check the schedule and register for an info session presented by international recruitment representatives. Past sessions are also accessible for reference.
3. Three webinars are mentioned: one on the Ontario Colleges application process, another covering costs and financial aid options (OSAP application process included), and a third providing an overview of George Brown College programs and student support services. All webinars require registration.
4. The text mentions various program types offered at the college, including certificates, diplomas, advanced diplomas, and degrees. A 45-minute webinar is available to provide an overview of these programs and the pathways for students to 'stack credentials' and achieve academic and career goals.
5. Returning adults are also addressed in the text, but no specific information about programs or sessions for them is mentioned.",", 
3. How can I access pre-recorded campus tours at George Brown College?"
3,209ebb25-b665-4a50-b59f-6a6f1761ef01," The text provides information about various online sessions offered by George Brown College to help prospective students gain more insight into the college and its offerings. Here are the key facts extracted from the text:

1. Online campus tours with Q&A sessions happen daily, and pre-recorded tours are available at any time. The Campus Tour page has more details on the tour options.
2. Online information sessions for specific programs are also available, but not all programs have online sessions scheduled yet. Interested individuals can check the schedule and register for an info session presented by international recruitment representatives. Past sessions are also accessible for reference.
3. Three webinars are mentioned: one on the Ontario Colleges application process, another covering costs and financial aid options (OSAP application process included), and a third providing an overview of George Brown College programs and student support services. All webinars require registration.
4. The text mentions various program types offered at the college, including certificates, diplomas, advanced diplomas, and degrees. A 45-minute webinar is available to provide an overview of these programs and the pathways for students to 'stack credentials' and achieve academic and career goals.
5. Returning adults are also addressed in the text, but no specific information about programs or sessions for them is mentioned.",", 
4. Which webinars are available for registering and on which topics?"
4,209ebb25-b665-4a50-b59f-6a6f1761ef01," The text provides information about various online sessions offered by George Brown College to help prospective students gain more insight into the college and its offerings. Here are the key facts extracted from the text:

1. Online campus tours with Q&A sessions happen daily, and pre-recorded tours are available at any time. The Campus Tour page has more details on the tour options.
2. Online information sessions for specific programs are also available, but not all programs have online sessions scheduled yet. Interested individuals can check the schedule and register for an info session presented by international recruitment representatives. Past sessions are also accessible for reference.
3. Three webinars are mentioned: one on the Ontario Colleges application process, another covering costs and financial aid options (OSAP application process included), and a third providing an overview of George Brown College programs and student support services. All webinars require registration.
4. The text mentions various program types offered at the college, including certificates, diplomas, advanced diplomas, and degrees. A 45-minute webinar is available to provide an overview of these programs and the pathways for students to 'stack credentials' and achieve academic and career goals.
5. Returning adults are also addressed in the text, but no specific information about programs or sessions for them is mentioned.",", 
5. What is covered in the 45-minute webinar about program offerings and stacking credentials?"
5,209ebb25-b665-4a50-b59f-6a6f1761ef01," The text provides information about various online sessions offered by George Brown College to help prospective students gain more insight into the college and its offerings. Here are the key facts extracted from the text:

1. Online campus tours with Q&A sessions happen daily, and pre-recorded tours are available at any time. The Campus Tour page has more details on the tour options.
2. Online information sessions for specific programs are also available, but not all programs have online sessions scheduled yet. Interested individuals can check the schedule and register for an info session presented by international recruitment representatives. Past sessions are also accessible for reference.
3. Three webinars are mentioned: one on the Ontario Colleges application process, another covering costs and financial aid options (OSAP application process included), and a third providing an overview of George Brown College programs and student support services. All webinars require registration.
4. The text mentions various program types offered at the college, including certificates, diplomas, advanced diplomas, and degrees. A 45-minute webinar is available to provide an overview of these programs and the pathways for students to 'stack credentials' and achieve academic and career goals.
5. Returning adults are also addressed in the text, but no specific information about programs or sessions for them is mentioned.",", 
6. Are there any online sessions or resources specifically designed for returning adults at George Brown College?"
6,209ebb25-b665-4a50-b59f-6a6f1761ef01," The text provides information about various online sessions offered by George Brown College to help prospective students gain more insight into the college and its offerings. Here are the key facts extracted from the text:

1. Online campus tours with Q&A sessions happen daily, and pre-recorded tours are available at any time. The Campus Tour page has more details on the tour options.
2. Online information sessions for specific programs are also available, but not all programs have online sessions scheduled yet. Interested individuals can check the schedule and register for an info session presented by international recruitment representatives. Past sessions are also accessible for reference.
3. Three webinars are mentioned: one on the Ontario Colleges application process, another covering costs and financial aid options (OSAP application process included), and a third providing an overview of George Brown College programs and student support services. All webinars require registration.
4. The text mentions various program types offered at the college, including certificates, diplomas, advanced diplomas, and degrees. A 45-minute webinar is available to provide an overview of these programs and the pathways for students to 'stack credentials' and achieve academic and career goals.
5. Returning adults are also addressed in the text, but no specific information about programs or sessions for them is mentioned.",?
7,bd1c3810-1a79-49d4-bfdf-d66dacf34fe7," The text provides information about a webinar series offered by George Brown College. The webinars aim to help adults research careers and college programs, meet admission requirements, and go through the application process. One of the webinars focuses on careers in skilled trades and apprenticeships. Interested individuals can sign up for updates about application deadlines, college news, and events by signing up. The contact information provided is 416-415-2000 for regular queries and 1-877-515-5559 for TTY queries. The email address is ask.george@georgebrown.ca.

Additionally, there's a reference to visiting the Social Media Hub and learning more about land acknowledgment. The information on this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.

There isn't any explicit mention of specific programs or degrees offered by the college in this text.",1. When do application deadlines for the webinar series at George Brown College usually occur?
8,bd1c3810-1a79-49d4-bfdf-d66dacf34fe7," The text provides information about a webinar series offered by George Brown College. The webinars aim to help adults research careers and college programs, meet admission requirements, and go through the application process. One of the webinars focuses on careers in skilled trades and apprenticeships. Interested individuals can sign up for updates about application deadlines, college news, and events by signing up. The contact information provided is 416-415-2000 for regular queries and 1-877-515-5559 for TTY queries. The email address is ask.george@georgebrown.ca.

Additionally, there's a reference to visiting the Social Media Hub and learning more about land acknowledgment. The information on this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.

There isn't any explicit mention of specific programs or degrees offered by the college in this text.",2. What topics does the George Brown College webinar series cover apart from careers and college programs?
9,bd1c3810-1a79-49d4-bfdf-d66dacf34fe7," The text provides information about a webinar series offered by George Brown College. The webinars aim to help adults research careers and college programs, meet admission requirements, and go through the application process. One of the webinars focuses on careers in skilled trades and apprenticeships. Interested individuals can sign up for updates about application deadlines, college news, and events by signing up. The contact information provided is 416-415-2000 for regular queries and 1-877-515-5559 for TTY queries. The email address is ask.george@georgebrown.ca.

Additionally, there's a reference to visiting the Social Media Hub and learning more about land acknowledgment. The information on this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.

There isn't any explicit mention of specific programs or degrees offered by the college in this text.","3. How can individuals receive updates about college news, events, and application deadlines?"
10,bd1c3810-1a79-49d4-bfdf-d66dacf34fe7," The text provides information about a webinar series offered by George Brown College. The webinars aim to help adults research careers and college programs, meet admission requirements, and go through the application process. One of the webinars focuses on careers in skilled trades and apprenticeships. Interested individuals can sign up for updates about application deadlines, college news, and events by signing up. The contact information provided is 416-415-2000 for regular queries and 1-877-515-5559 for TTY queries. The email address is ask.george@georgebrown.ca.

Additionally, there's a reference to visiting the Social Media Hub and learning more about land acknowledgment. The information on this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.

There isn't any explicit mention of specific programs or degrees offered by the college in this text.",4. What is the contact number for regular queries regarding George Brown College?
11,bd1c3810-1a79-49d4-bfdf-d66dacf34fe7," The text provides information about a webinar series offered by George Brown College. The webinars aim to help adults research careers and college programs, meet admission requirements, and go through the application process. One of the webinars focuses on careers in skilled trades and apprenticeships. Interested individuals can sign up for updates about application deadlines, college news, and events by signing up. The contact information provided is 416-415-2000 for regular queries and 1-877-515-5559 for TTY queries. The email address is ask.george@georgebrown.ca.

Additionally, there's a reference to visiting the Social Media Hub and learning more about land acknowledgment. The information on this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.

There isn't any explicit mention of specific programs or degrees offered by the college in this text.",5. What is the TTY contact number for individuals with hearing impairments at George Brown College?
