,contextId,context,question
0,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.",What is the name of this business administration program?
1,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.",", What is the code for the international business program?"
2,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.","-, What type of credential will I receive after completing this program?"
3,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.","-, How long does it take to complete this business administration - international business program?"
4,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.","-, In which months can I start this program?"
5,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.","-, What is the domestic tuition fee for this program?"
6,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.","-, What is the international tuition fee for this program?"
7,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.","-, Which school offers this business administration - international business program?"
8,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.","-, Where is the location of this program?"
9,e1eab71e-9d5c-403b-b868-0658b6c994aa," Program Name: Business Administration – International Business
Code: B161
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
School: Management
Location: St. James Campus
Experiential Learning: Work Experience (Co-op or Internship) Required
Delivery: On Campus for all semesters (Fall 2023 and Winter 2024)
Program Description: Graduates will be prepared to perform in various international business fields such as finance, sales, marketing, human resources, international market entry and distribution, international trade management, international negotiation, trade research, international marketing, international trade finance, planning, logistics, and legal aspects of international trade.

* Domestic tuition fee for the 2023-2024 and 2024-2025 academic years.
** International tuition fee for the 2023-2024 and 2024-2025 academic years.","-, Is experiential learning required for this program and what type is it?"
