,contextId,context,question
0,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",What is the address of Casa Loma Child Care Centre?
1,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", Which phone numbers does Daystrom Child Care Centre have?"
2,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", Where is Elmlea Child Care Centre located?"
3,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", What is the contact information for Fashion District Ryerson Child Care Centre?"
4,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", What is the phone number for Nelson Mandela Child Care Centre?"
5,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", Where can I find Parkdale Child Care Centre?"
6,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", What is the address of Queen Street Child Care Centre?"
7,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", Which phone number should I use to reach Richmond Adelaide Child Care Centre?"
8,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", Where is Rose Avenue Child Care Centre situated?"
9,87e73c8b-0ddc-44f2-89bf-956dcd7ac5b6," The George Brown College collaborates with 12 child care centres across Toronto. Here are the contact details of some of these centres:

1. Casa Loma Child Care Centre
   Address: 160 Kendal Avenue, Toronto, ON M5R 1M3
   Phone number: 416-415-5000 ext. 4616

2. Daystrom Child Care Centre
   Address: 25 Daystrom Drive, Toronto, ON M9M 2K8
   Phone numbers: 647-823-3956 or 647-284-1392

3. Elmlea Child Care Centre
   Address: 50 Hadrian Dr., Toronto, ON M9W 1V4
   Phone number: 416-276-4851

4. Fashion District Ryerson Child Care Centre
   Address: 96 Denison Avenue, Toronto, ON
   Phone number: 416-415-2505

5. Nelson Mandela Child Care Centre
   Address: 440 Shuter Street, Toronto, ON
   Phone number: 416-415-2450

6. Parkdale Child Care Centre
   Address: 78 Seaforth Avenue, Toronto, ON
   Phone number: 416-393-8386

7. Queen Street Child Care Centre
   Address: 1001 Queen Street West, Toronto, ON
   Phone number: 416-535-6701

8. Richmond Adelaide Child Care Centre
   Address: 130 Adelaide Street, Toronto, ON
   Phone number: 416-415-2453

9. Rose Avenue Child Care Centre
   Address: 675 Ontario Street, Toronto, ON
   Phone number: 416-922-8827

10. Sprucecourt Child Care Centre
    Address: 70 Spruce Street, Toronto, ON
    Phone number: 416-415-2450

11. University of Toronto, Child Care on Charles
    Address: 35 Charles Street West, Toronto, ON
    Phone number: 416-415-2604",", What is the contact information for University of Toronto, Child Care on Charles?"
