,contextId,context,question
0,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",What is the name of this program?
1,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", What is the code for Carpentry and Renovation Technician program?"
2,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", What kind of credential will I get after completing this program?"
3,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", How long does it take to complete Carpenter and Renovation Technician program?"
4,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", In which starting months can I begin this program?"
5,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", How much is the domestic tuition fee for Carpentry and Renovation Technician program?"
6,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", What is the international tuition fee for Carpentry and Renovation Technician program?"
7,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", Where is Casa Loma Campus located?"
8,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", What type of experiential learning is involved in this program?"
9,27daa835-bccc-4934-8afe-6a8f8bc5a681," Program Name: Carpentry and Renovation Technician
Code: T180
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,106.00
International Tuition: $18,143.00
Program Location: Casa Loma Campus
Experiential Learning: Field Placement
Related Programs: Construction Engineering Technology (T105), Building Renovation Technology (T148), Construction Techniques (T176)",", Which related programs are offered along with Carpentry and Renovation Technician?"
