,contextId,context,question
0,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.",What is the name of this business administration program?
1,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.",", Which code is associated with Supply Chain and Operations Management?"
2,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.",", What kind of credential will be earned upon completion?"
3,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.",", How long does the full-time program last?"
4,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.",", In what months can one start this program?"
5,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.",", How much is the domestic tuition fee?"
6,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.","., And how much is the international tuition fee?"
7,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.","., In which centre and school is this program located?"
8,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.",", Is experiential learning required, and in which semesters will this program be delivered during Fall 2023 and Winter 2024?"
9,f3135df5-8b3d-4dbe-bfc8-2f8ceae0d32c," Program Name: Business Administration – Supply Chain and Operations Management
Code: B162
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,536.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Experiential Learning: Work experience (co-op or internship) required
Fall 2023 Delivery: Semester 1, 2, 3, 4, 5, 6: On Campus
Winter 2024 Delivery: Semester 1, 2, 4, 5, 6: On Campus
Program Description: Students will be prepared to perform marketing forecasting, demand management, production planning and other functions in supply chain management, in careers that include logistics, transportation, warehousing, exporting, procurement, planning and forecasting.

* Domestic tuition fee for the program.
** International tuition fee for the program.",.?
10,a49d2c1a-d86f-451b-aa47-173d995803bc," The text provides information about the supply chain management courses offered by George Brown College's Centre for Business program. These courses are designed to enable graduates to demonstrate various skills and knowledge related to supply chain jobs. Some of these skills include:

1. Analysis of the impact of an organization's supply chain initiatives on its human resources management strategies, policies and practices.
2. Compliance of an organization with relevant national and international laws, regulations, safety requirements and professional standards.
3. Application of knowledge of functional components in integrated supply chains, including logistics, purchasing, distribution, transportation, and warehousing.
4. Use of supply chain tools and resources to comply with the requirements of supply chain management.
5. Interpretation of relevant financial documents and assessment of financial strategies that support an organization's supply chain.

The text also mentions some statistics about the Canadian supply chain sector labour force: as of 2017, there were approximately 881,326 workers in the sector labour force. Currently, there are more than 27,000 unfilled supply chain positions in Canada, and another 66,000 openings are anticipated each year for the next five years.

The George Brown College's Centre for Business program offering Business Administration – Supply Chain and Operations Management requires students to bring their own laptops due to its Bring Your Own Device (BYOD) initiative. The Library Learning Commons offers open access computers and equipment that can be borrowed on a short-term basis. The College has earned international recognition from the Accreditation Council for Business Schools and Programs (ACBSP), making it one of only two colleges in Ontario to have received this accreditation. Students wishing to apply for Business Administration – Supply Chain and Operations Management without work experience should apply to B122 instead.

Extracted Information:
1. Skills and knowledge gained from the supply chain management courses include: analysis, compliance, application of knowledge, use of tools, interpretation of financial documents.
2. Statistics about the Canadian supply chain sector labour force: approximately 881,326 workers in 2017, over 27,000 unfilled positions, and 66,000 anticipated openings for the next five years.
3. Students must bring their own laptops due to BYOD initiative. Library Learning Commons offers open access computers and equipment borrowing.
4. George Brown College has earned international recognition from ACBSP (Accreditation Council for Business Schools and Programs).
5. Applicants wishing to apply for Business Administration – Supply Chain and Operations Management without work experience should apply to B122 instead.",1. What skills and knowledge will students gain from George Brown College's supply chain management courses?
11,a49d2c1a-d86f-451b-aa47-173d995803bc," The text provides information about the supply chain management courses offered by George Brown College's Centre for Business program. These courses are designed to enable graduates to demonstrate various skills and knowledge related to supply chain jobs. Some of these skills include:

1. Analysis of the impact of an organization's supply chain initiatives on its human resources management strategies, policies and practices.
2. Compliance of an organization with relevant national and international laws, regulations, safety requirements and professional standards.
3. Application of knowledge of functional components in integrated supply chains, including logistics, purchasing, distribution, transportation, and warehousing.
4. Use of supply chain tools and resources to comply with the requirements of supply chain management.
5. Interpretation of relevant financial documents and assessment of financial strategies that support an organization's supply chain.

The text also mentions some statistics about the Canadian supply chain sector labour force: as of 2017, there were approximately 881,326 workers in the sector labour force. Currently, there are more than 27,000 unfilled supply chain positions in Canada, and another 66,000 openings are anticipated each year for the next five years.

The George Brown College's Centre for Business program offering Business Administration – Supply Chain and Operations Management requires students to bring their own laptops due to its Bring Your Own Device (BYOD) initiative. The Library Learning Commons offers open access computers and equipment that can be borrowed on a short-term basis. The College has earned international recognition from the Accreditation Council for Business Schools and Programs (ACBSP), making it one of only two colleges in Ontario to have received this accreditation. Students wishing to apply for Business Administration – Supply Chain and Operations Management without work experience should apply to B122 instead.

Extracted Information:
1. Skills and knowledge gained from the supply chain management courses include: analysis, compliance, application of knowledge, use of tools, interpretation of financial documents.
2. Statistics about the Canadian supply chain sector labour force: approximately 881,326 workers in 2017, over 27,000 unfilled positions, and 66,000 anticipated openings for the next five years.
3. Students must bring their own laptops due to BYOD initiative. Library Learning Commons offers open access computers and equipment borrowing.
4. George Brown College has earned international recognition from ACBSP (Accreditation Council for Business Schools and Programs).
5. Applicants wishing to apply for Business Administration – Supply Chain and Operations Management without work experience should apply to B122 instead.","(analysis, compliance, application of knowledge, use of tools, interpretation of financial documents)
2. How many workers were there in the Canadian supply chain sector labour force as of 2017?"
12,a49d2c1a-d86f-451b-aa47-173d995803bc," The text provides information about the supply chain management courses offered by George Brown College's Centre for Business program. These courses are designed to enable graduates to demonstrate various skills and knowledge related to supply chain jobs. Some of these skills include:

1. Analysis of the impact of an organization's supply chain initiatives on its human resources management strategies, policies and practices.
2. Compliance of an organization with relevant national and international laws, regulations, safety requirements and professional standards.
3. Application of knowledge of functional components in integrated supply chains, including logistics, purchasing, distribution, transportation, and warehousing.
4. Use of supply chain tools and resources to comply with the requirements of supply chain management.
5. Interpretation of relevant financial documents and assessment of financial strategies that support an organization's supply chain.

The text also mentions some statistics about the Canadian supply chain sector labour force: as of 2017, there were approximately 881,326 workers in the sector labour force. Currently, there are more than 27,000 unfilled supply chain positions in Canada, and another 66,000 openings are anticipated each year for the next five years.

The George Brown College's Centre for Business program offering Business Administration – Supply Chain and Operations Management requires students to bring their own laptops due to its Bring Your Own Device (BYOD) initiative. The Library Learning Commons offers open access computers and equipment that can be borrowed on a short-term basis. The College has earned international recognition from the Accreditation Council for Business Schools and Programs (ACBSP), making it one of only two colleges in Ontario to have received this accreditation. Students wishing to apply for Business Administration – Supply Chain and Operations Management without work experience should apply to B122 instead.

Extracted Information:
1. Skills and knowledge gained from the supply chain management courses include: analysis, compliance, application of knowledge, use of tools, interpretation of financial documents.
2. Statistics about the Canadian supply chain sector labour force: approximately 881,326 workers in 2017, over 27,000 unfilled positions, and 66,000 anticipated openings for the next five years.
3. Students must bring their own laptops due to BYOD initiative. Library Learning Commons offers open access computers and equipment borrowing.
4. George Brown College has earned international recognition from ACBSP (Accreditation Council for Business Schools and Programs).
5. Applicants wishing to apply for Business Administration – Supply Chain and Operations Management without work experience should apply to B122 instead.",3. How many unfilled supply chain positions are currently in Canada?
