,contextId,context,question
0,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",1. Is George Brown College considering building staff housing in Toronto?
1,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",", 
2. When did George Brown College's housing task force identify the need for faculty housing?"
2,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",",
3. What is the timeframe for George Brown College's staff housing plans?"
3,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",",
4. Where are some of the recent real estate acquisitions made by George Brown College in Toronto?"
4,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",",
5. What is the largest frontage on Toronto's waterfront after George Brown College?"
5,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",",
6. What is the name and location of the building George Brown College recently acquired at 25 Dockside Dr.?"
6,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",",
7. Why has the Prime Minister of Barbados reaffirmed the government's commitment to establishing University College of Barbados (USB)?"
7,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",8. What is the importance of University College of Barbados (USB) for post-secondary and tertiary education in Barbados?
8,1042c459-4a84-4ace-b5f0-14726d05d71f," George Brown College is exploring the possibility of building staff housing in Toronto due to increasing home costs and unaffordability for faculty members. The college's housing task force identified this issue earlier in 2023. Senior Vice-President of External Relations, Communications and Real Estate Development at George Brown, Joe Cressy, mentioned that they are planning 20 to 30 years ahead.

George Brown College has recently made significant real estate acquisitions on Toronto's waterfront, including the Corus Quay building at 25 Dockside Dr. and other buildings along Queens Quay East. The college now has the second-largest frontage on the waterfront after Harbourfront Centre.

The Prime Minister of Barbados, Mia Amor Mottley, reaffirmed the government's commitment to establishing the University College of Barbados (USB) and underlined its importance for post-secondary and tertiary education in the country.",?
9,2d1babd3-b286-4d32-8bf6-beba4fa7696c," George Brown College expanded its Toronto campus by purchasing the Corus Quay building located at 25 Dockside Dr., with equity partner Halmont Properties. This addition is part of a master plan developed in 2014 and will solidify George Brown's position as Ontario's urban college. The Toronto waterfront campus also houses Ontario's first tall timber institutional building, the 10-story Limberlost Place, which showcases sustainable design, structural innovation, and an advanced prefabricated envelope system. Fast + Epp developed a unique ""slab-banded"" system for this project.

No specific information about programs offered by the college was found in the text.",What is George Brown College's master plan for expansion?
10,2d1babd3-b286-4d32-8bf6-beba4fa7696c," George Brown College expanded its Toronto campus by purchasing the Corus Quay building located at 25 Dockside Dr., with equity partner Halmont Properties. This addition is part of a master plan developed in 2014 and will solidify George Brown's position as Ontario's urban college. The Toronto waterfront campus also houses Ontario's first tall timber institutional building, the 10-story Limberlost Place, which showcases sustainable design, structural innovation, and an advanced prefabricated envelope system. Fast + Epp developed a unique ""slab-banded"" system for this project.

No specific information about programs offered by the college was found in the text.",", Where is the new Toronto campus located for George Brown College?"
11,2d1babd3-b286-4d32-8bf6-beba4fa7696c," George Brown College expanded its Toronto campus by purchasing the Corus Quay building located at 25 Dockside Dr., with equity partner Halmont Properties. This addition is part of a master plan developed in 2014 and will solidify George Brown's position as Ontario's urban college. The Toronto waterfront campus also houses Ontario's first tall timber institutional building, the 10-story Limberlost Place, which showcases sustainable design, structural innovation, and an advanced prefabricated envelope system. Fast + Epp developed a unique ""slab-banded"" system for this project.

No specific information about programs offered by the college was found in the text.",", Who is the equity partner in George Brown College's Toronto campus expansion?"
12,2d1babd3-b286-4d32-8bf6-beba4fa7696c," George Brown College expanded its Toronto campus by purchasing the Corus Quay building located at 25 Dockside Dr., with equity partner Halmont Properties. This addition is part of a master plan developed in 2014 and will solidify George Brown's position as Ontario's urban college. The Toronto waterfront campus also houses Ontario's first tall timber institutional building, the 10-story Limberlost Place, which showcases sustainable design, structural innovation, and an advanced prefabricated envelope system. Fast + Epp developed a unique ""slab-banded"" system for this project.

No specific information about programs offered by the college was found in the text.",", How does George Brown College's expansion solidify its position in Ontario?"
13,2d1babd3-b286-4d32-8bf6-beba4fa7696c," George Brown College expanded its Toronto campus by purchasing the Corus Quay building located at 25 Dockside Dr., with equity partner Halmont Properties. This addition is part of a master plan developed in 2014 and will solidify George Brown's position as Ontario's urban college. The Toronto waterfront campus also houses Ontario's first tall timber institutional building, the 10-story Limberlost Place, which showcases sustainable design, structural innovation, and an advanced prefabricated envelope system. Fast + Epp developed a unique ""slab-banded"" system for this project.

No specific information about programs offered by the college was found in the text.",", What special features does the Limberlost Place at George Brown College's Toronto campus have?"
14,2d1babd3-b286-4d32-8bf6-beba4fa7696c," George Brown College expanded its Toronto campus by purchasing the Corus Quay building located at 25 Dockside Dr., with equity partner Halmont Properties. This addition is part of a master plan developed in 2014 and will solidify George Brown's position as Ontario's urban college. The Toronto waterfront campus also houses Ontario's first tall timber institutional building, the 10-story Limberlost Place, which showcases sustainable design, structural innovation, and an advanced prefabricated envelope system. Fast + Epp developed a unique ""slab-banded"" system for this project.

No specific information about programs offered by the college was found in the text.",", Who developed the unique system for the Limberlost Place building in George Brown College's Toronto campus?"
