,contextId,context,question
0,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",What is the name of this graduate certificate program?
1,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", What is the code for the Restorative Dental Hygiene program?"
2,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", What credential will students receive upon completion of this program?"
3,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", How long does this program last?"
4,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", In which starting months can students begin this program?"
5,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", What is the domestic tuition fee for this program?"
6,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", Which centre and school does this program belong to?"
7,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", What kind of experiential learning does this program offer?"
8,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", Who is eligible to apply for this program?"
9,6cf8a00b-8e1b-430d-af84-f8071713d096," Program Name: Restorative Dental Hygiene
Code: S400
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters, September to April
Starting Months: September
Domestic Tuition: $19,129.00 *
Centre: Health Sciences
School: Dental Health
Location: Waterfront Campus
Experiential Learning: Field Experience
Program Description: Preparing graduates to work as restorative dental hygienists for over 40 years. It's the only full-time Restorative Dental Hygiene program available at a public Ontario College.
Qualification: Open to registered dental hygienists who have a minimum of one year of work experience.
Classes: Consolidated to three days per week to accommodate working dental hygienists. This full-time, hybrid program is OSAP eligible.",", How often are classes held in a week?"
