,contextId,context,question
0,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",What are the types of programs offered at George Brown College?
1,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", What are the admission requirements for postsecondary programs?"
2,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", What is needed for Bachelor's degree programs?"
3,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", What qualifications are required for postgraduate programs?"
4,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", Can mature students apply without an Ontario Secondary School Diploma?"
5,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", Where can applicants find specific program requirements?"
6,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", What is the contact information for George Brown College?"
7,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", What is the phone number for George Brown College (voice)?"
8,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.","., What is the TTY number for George Brown College?"
9,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", What is the email address for inquiries at George Brown College?"
10,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", What is the social media hub for George Brown College?"
11,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", Is the website content subject to change without notice?"
12,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",", Where can applicants sign up for application deadlines, college news, upcoming events, tours, and more?"
13,509a786f-76ab-4fd4-a8bb-3b2e579ff34f," George Brown offers full-time certificate, diploma, degree, and postgraduate programs. Admission requirements and fees vary from program to program. A minimum Ontario Secondary School Diploma or equivalent is required for admission to postsecondary programs. Bachelor's degree programs require a minimum of six Grade 12 credits at the university and/or college level. Postgraduate programs typically require a minimum of a college diploma, university degree or equivalent. Mature students (aged 19 and older on the first day of class without a completed OSSD) can take an admissions assessment to be considered for their program of choice. For specific program requirements, applicants should refer to the program page. The contact information for George Brown College is 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and their social media hub. The college's website content is subject to change without notice and should not be viewed as a representation or warranty. For application deadlines, college news, upcoming events, tours, and more, applicants can sign up on the website.",?
