,contextId,context,question
0,fa714366-3e80-405c-9339-3d60c9be61fe," Program Name: Jewellery Arts
Code: F114
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Methods (F110), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change based on government policies.
** International tuition includes other additional fees not included in domestic tuition.",What is the name of this program?
1,fa714366-3e80-405c-9339-3d60c9be61fe," Program Name: Jewellery Arts
Code: F114
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Methods (F110), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change based on government policies.
** International tuition includes other additional fees not included in domestic tuition.",", What is the code for Jewellery Arts program?"
2,fa714366-3e80-405c-9339-3d60c9be61fe," Program Name: Jewellery Arts
Code: F114
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Methods (F110), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change based on government policies.
** International tuition includes other additional fees not included in domestic tuition.",", what kind of credential will I get after completing this program?"
3,fa714366-3e80-405c-9339-3d60c9be61fe," Program Name: Jewellery Arts
Code: F114
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Methods (F110), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change based on government policies.
** International tuition includes other additional fees not included in domestic tuition.",", How long does it take to finish this program?"
4,fa714366-3e80-405c-9339-3d60c9be61fe," Program Name: Jewellery Arts
Code: F114
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Methods (F110), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change based on government policies.
** International tuition includes other additional fees not included in domestic tuition.",", When can I start this program in the next academic year (Domestic and International), what is the domestic tuition fee for this program, what is the international tuition fee for this program including other additional fees, where is this program located?"
5,fa714366-3e80-405c-9339-3d60c9be61fe," Program Name: Jewellery Arts
Code: F114
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Methods (F110), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change based on government policies.
** International tuition includes other additional fees not included in domestic tuition.",", Is there any availability of this program during the upcoming Winter and Spring semesters?"
6,fa714366-3e80-405c-9339-3d60c9be61fe," Program Name: Jewellery Arts
Code: F114
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Methods (F110), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change based on government policies.
** International tuition includes other additional fees not included in domestic tuition.",", What are related programs to Jewellery Arts?"
7,fa714366-3e80-405c-9339-3d60c9be61fe," Program Name: Jewellery Arts
Code: F114
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Methods (F110), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change based on government policies.
** International tuition includes other additional fees not included in domestic tuition.",?
8,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",What are the creative skills gained in the jewellery making program?
9,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", How can students achieve high standards in goldsmithing?"
10,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", What kinds of projects blend technical expertise with individual expression?"
11,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", When is the annual jewellery exhibition held?"
12,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", Are there competitions and industry events for students?"
13,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", What technology requirements does the program have?"
14,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", How much does a Rhino 7 software license cost?"
15,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", What textbooks are provided after registration?"
16,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", What careers can graduates pursue in the jewellery industry?"
17,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", Where might graduates find opportunities in fine or fashion jewellery?"
18,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", Can transfer credits be used towards further studies in Jewellery and Gemmology?"
19,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",", Which courses make up the first semester of the program?"
20,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""","*, Which courses make up the second semester of the program*?"
21,787d01f6-ddda-4ba9-8767-9d7692b1fd04," The text provides information about a jewellery making program offered by a college. Here are the key factual details extracted from the text:

- The program allows students to flex their creative skills and gain fundamental jewellery business skills.
- Students can achieve high standards in goldsmithing, working with precious metals and gemstones.
- Projects blend technical expertise with individual expression.
- An annual jewellery exhibition showcases student creations.
- Competitions, industry events, and volunteering opportunities are available.
- The program requires access to a personal computer and reliable internet connection.
- Students need to purchase a Rhino 7 software license.
- A list of textbooks will be provided after registration.
- Graduates can work as bench goldsmiths or designers, in repair or gemsetting, or establish their own businesses.
- Opportunities exist in fine jewellery or fashion jewellery within retail, wholesale, or manufacturing contexts.
- Transfer credits towards further study in Jewellery and Gemmology are available.
- Required courses in the first semester include Goldsmithing 1, Metal Finishing 1, Technical Drawing, Rhino 1 for Jewellery, Jewellery as an Industry, and Communicating Across Contexts.
- Required courses in the second semester include Goldsmithing 2, Metal Finishing 2, Jewellery Casting, Gemmology for Jewellers, Rhino 2 for Jewellery, and History of Jewellery and Gemstones.
- An asterisk (*) denotes courses that may have additional information or requirements, such as ""Jewellery as an Industry"" and ""History of Jewellery and Gemstones.""",?
22,e9bec691-11da-47f4-8c5b-063f90eb4cb6," Extracted Information:

The college offers a Jewellery program spanning six semesters. Here are the codes and course names for each semester:

Semester 3:
- JEWL 1054: Jewellery Rendering and Illustration
- JEWL 1099: Design and Colour for Jewellery
- JEWL 1055: Jewellery Design 1
- JEWL 1051: Jewellery Projects A
- JEWL 1080: Industry Skills 1
- JEWL 2006: Gemsetting 1

Semester 4:
- JEWL 2023: Jewellery Design 2
- JEWL 2024: Jewellery Projects B
- JEWL 1056: Production Techniques 1
- JEWL 2021: Industry Skills 2
- JEWL 2011: Gemsetting 2

Semester 5:
- JEWL 3024: Jewellery Projects C
- JEWL 2029: Production Techniques 2
- JEWL 2037: Jewellery Business and Careers

Semester 6:
- JEWL 3035: Jewellery Projects D

Students are required to choose two Program Electives from the following list:
- JEWL 1059: Model Making 1
- JEWL 1060: Model Making 2
- JEWL 2007: Jewellery Repair 1
- JEWL 2008: Jewellery Repair 2
- JEWL 1004: Enamelling 1
- JEWL 2027: Enamelling 2
- JEWL 2032: Decorative Techniques
- JEWL 1074: Field Education in the Jewellery Industry
- JEWL 1091: Jewellery Master Class
- JEWL 2086: Rhino 3 for Jewellery

Students are also required to take General Education Electives, though the number and specific courses were not mentioned in the text. The graduate of this program will be able to create jewellery.",What are the codes and names of the courses in Semester 3 for the Jewellery program?
