,contextId,context,question
0,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",What is the George Brown College Awards program?
1,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",", How do students apply for scholarships and awards in this program?"
2,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",", What is required of students to be eligible for student awards in George Brown College?"
3,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",", Where can students access the online application for student awards?"
4,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",", How do students log into their STU-VIEW account?"
5,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",", What tab should students click on after logging into Stu-View?"
6,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",", What option should students select to apply for student awards?"
7,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",", What is the first step of the application process for student awards in George Brown College?"
8,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",", What must students complete before submitting their application for student awards?"
9,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",When should students submit their application for student awards during an academic year?
10,11c33fb9-89b1-4559-8380-0eda651c32c9," The George Brown College has an Awards program that recognizes students in need and those who demonstrate excellence. Students can apply for scholarships, awards, and bursaries to help cover the costs of their education. To apply for student awards, students must first be registered as full-time students with a full course load for the term. Applications for student awards are available through Stu-View under the Student Awards tab at the beginning of each semester.

To access the online application for student awards:
1. Login to your STU-VIEW account.
2. Click on the Student Awards tab.
3. Select Apply for Student Awards.

Students must first complete their Student Profile as the initial step in the application process, where they can apply for College-Wide and Divisional awards. Students are required to answer all questions within each section of the Student Profile form to the best of their ability, marking each section complete and continuing to the next one before submitting the application once per academic year. The application for student awards must be submitted during specific times at the beginning of each semester.",?
11,7629ff97-4951-4fe3-b296-eb648fc1a985," To submit an application on the Student Profile form of the college website, follow these steps:

1. Complete all six (6) required sections, indicated by a red checkmark. Incomplete sections will have a blue icon.
2. Once all sections are completed, click on the Submit Application button to see a confirmation message and the Additional Awards Applications page. Alternatively, you can click on the Student Awards tab and select ""Apply for Student Awards.""
3. If you haven't registered for the term with a full-time course load in a post-secondary program, you won't be able to continue and will see a message saying ""THERE ARE NO AWARDS APPLICATIONS AVAILABLE.""
4. Use the Application dropdown menu to view available awards applications based on your registration, course load, and identity declaration. Only eligible award groups will appear.
5. To apply for an award group, select an application from the dropdown menu, click ""Continue,"" review the Application Confirmation page, and then continue with the main menu for the selected application. Note that individual awards may not always be shown on applications; instead, you may need to apply for an awards group and then consider all individual awards within it.
6. Application deadlines vary, so make sure to note each deadline when applying for additional awards.",1. Which sections need to be completed in the Student Profile form for submitting an application?
