,contextId,context,question
0,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",What is the name of the Bachelor's degree program?
1,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", What is the code for the Bachelor of Science in Nursing program?"
2,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", Which university grants this credential?"
3,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", In what method of study is this program offered?"
4,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", How long does it take to complete this program?"
5,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", When can students start this program?"
6,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", What is the domestic tuition fee for this program?"
7,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", In which centre and school is this program located?"
8,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", Where are the first two years of the program completed?"
9,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", Where are the final two years of the program completed?"
10,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", Can graduates write the National Council Licensure Examination (NCLEX)?"
11,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", Where can graduates apply for registration after passing NCLEX?"
12,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", What types of nursing positions can graduates pursue in various health-care settings?"
13,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",", Is this program accredited by the Canadian Association of Schools of Nursing (CASN)?"
14,983436bc-48c2-4458-8fae-636e9324bef0," Program Name: Bachelor of Science in Nursing
Code: S118
Credential: Toronto Metropolitan University Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters)
Starting Months: September
Domestic Tuition: $7,307.00 *
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: George Brown College at Toronto Metropolitan University Campus, Waterfront Campus
Program Description: Collaborative degree program offered by George Brown, Toronto Metropolitan University, and Centennial College. Students complete first two years at George Brown campus and final two years at Toronto Metropolitan University campus.
Graduates can write National Council Licensure Examination (NCLEX), apply for registration with the College of Nurses of Ontario, and pursue nursing positions in various health-care settings.
Program is accredited by the Canadian Association of Schools of Nursing (CASN).
* Domestic tuition is subject to change and may vary depending on program fees and other factors. Please check with the college for the most accurate and up-to-date information.",?
15,dbc7fa22-c266-414e-a184-803ca3f06721," The Toronto Metropolitan University offers a Bachelor of Science in Nursing program that lasts for four years. Students are taught by faculty from both program streams. The program aims to prepare nursing leaders who are competent, knowledgeable, and committed to shaping the future of healthcare. It educates nurses to work with diverse populations and in various contexts.

The curriculum is based on phenomenology and critical social theory and consists of five themes: primary health care/health promotion, reflective practice/critical thinking, meaningful relationships/caring/communication, political/social justice, and personal/professional development. The program also covers several important concepts, including safety, scholarship, relational practice, determinants of health, diversity, professional nursing practice, leadership, health systems, teaching/learning.

The curriculum includes required professionally related courses in anatomy and physiology, microbiology, psychology, as well as elective courses from other disciplines. The first two years of the program are completed at George Brown's Waterfront Campus. In Year I, students focus on knowledge of self in the context of health and develop effective communication abilities and foundational nursing practice skills. In Year II, students shift their focus to knowledge of others in the context of illness.

Students are recognized as adult learners responsible for their learning, and learning is characterized as an interactive, lifelong process. The student-educator relationship is based on mutual trust and respect.

No specific factual information such as emails or names were mentioned in the text.",1. What is the duration of the Bachelor of Science in Nursing program at Toronto Metropolitan University?
