,contextId,context,question
0,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",1. When were changes made to the LLC Laptop Loan Policy?
1,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What was updated in the LLC Laptop Loan Policy on December 18, 2023?"
2,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",2. Where can students find a guide on plagiarism and how to avoid it?
3,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What topics are covered in the plagiarism guide available on Library News & Services?"
4,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",3. What is George Brown College's Code of Non-Academic Student Behaviour?
5,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can students consult this code for further details regarding plagiarism?"
6,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.","4. According to the text, what is plagiarism?"
7,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Can you give examples of plagiarism mentioned in the text?"
8,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.","5. What are the rules that students must follow when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism?"
9,4cd681a1-90f1-41aa-8571-5ad3b9d296ec," The following information was extracted from the given text:

1. Changes to LLC Laptop Loan Policy were made on December 18, 2023.
2. There is a guide on plagiarism and how to avoid it available on Library News & Services.
3. George Brown College has a Code of Non-Academic Student Behaviour that students can consult for further details regarding plagiarism.
4. Plagiarism includes presenting someone else's work, words, images, or thoughts as your own without giving proper credit to the original source.
5. Examples of plagiarism include not citing sources and failing to acknowledge the original author when using their ideas or information.
6. Students are expected to follow certain rules when doing research, assignments, and writing papers to uphold academic honesty and avoid plagiarism.
7. George Brown College provides resources on safe practices, quoting, paraphrasing, and summarizing through The OWL at Purdue University.
8. Students can learn more about the college's land acknowledgment and stay updated on application deadlines, college news, upcoming events, tours, and more by signing up.
9. George Brown College can be contacted via phone (416-415-2000) or TTY (1-877-515-5559), email (ask.george@georgebrown.ca), or social media.
10. The information in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What resources does George Brown College provide on safe practices, quoting, paraphrasing, and summarizing?"
