,contextId,context,question
0,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.","1. What services does the Office of Anti-Racism, Equity and Human Rights team offer at George Brown College?"
1,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",2. In which areas does the team provide advisory services and education?
2,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",3. How can one contact the diversity team for workshops at George Brown College?
3,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",4. Which policy does the George Brown College community need to review and comply with?
4,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",5. What is the focus of the Human Rights Discrimination and Harassment Policy?
5,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",6. What encouragement does the text give regarding reading the Ontario Human Rights Code?
6,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",7. What right do individuals have in terms of studying and working environment at George Brown College?
7,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",8. Which campaigns does the team promote throughout the year to promote inclusiveness on campus?
8,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",9. When does the Positive Spaces campaign take place each year?
9,8360f331-2710-493d-918f-e242aca37faf," The Office of Anti-Racism, Equity and Human Rights Services team at George Brown College aims to promote equity and value the presence of diverse experiences and qualities within individuals or groups. They offer advisory services and education in areas such as human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, and equity. They provide one-on-one, group, and online workshops to schedule by contacting diversity@georgebrown.ca. The George Brown College Community is required to review and comply with the Human Rights Discrimination and Harassment Policy and also encouraged to read the Ontario Human Rights Code. Each person has the right to work and study in an environment free from harassment and discrimination.

The team covers various campaigns throughout the year to promote inclusiveness on campus, such as Positive Spaces in the first week of June, where artists are commissioned for unique Valentines available on campus. They focus on creating a safe and welcoming environment for members of the LGBTQ2A+ community.

Contact Information: diversity@georgebrown.ca

Areas of Focus: human rights, discrimination, harassment, sexual violence, accessibility, anti-racism, diversity, positive spaces, LGBTQ2A+ community, equity.

Campaigns: Positive Spaces in the first week of June.",10. Who are the artists commissioned for unique Valentines during the Positive Spaces campaign?
